NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,20.983825699999215,None,1,1.0548641999994288,20.983825699999215,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,22.518079299999954,None,2,0.9601429999984248,22.518079299999954,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,23.55169500000011,None,3,0.3062879000008252,23.55169500000011,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,23.95198960000016,None,1,0.13197020000006887,23.95198960000016,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,24.168845999998666,None,3,0.2169819999999163,24.168845999998666,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,24.453008399999817,None,2,0.1986930000002758,24.453008399999817,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,24.735640599999897,None,3,0.04154769999877317,24.735640599999897,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,24.868985999999495,None,1,0.34712889999900653,24.868985999999495,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,25.30364550000013,None,2,0.5010390999996162,25.30364550000013,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,25.88613400000031,None,None,,25.88613400000031,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,26.88600669999869,None,x,3.099143199999162,26.88600669999869,None,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,30.071534799999426,None,1,1.3292581999994582,30.071534799999426,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,31.48891299999923,None,2,0.36548880000009376,31.48891299999923,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,31.955656799998906,None,3,0.015168500000072527,31.955656799998906,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,2,0,2,0,0,3,3,3,,,,,,,32.05557029999909,None,1,0.08640419999937876,32.05557029999909,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,2,0,2,0,0,4,4,4,,,,,,,32.23908510000001,None,2,0.3072909000002255,32.23908510000001,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,2,0,2,0,0,5,5,5,,,,,,,32.67255920000025,None,3,0.3471084000011615,32.67255920000025,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,2,0,2,0,0,6,6,6,,,,,,,33.10605020000003,None,1,0.0748053000006621,33.10605020000003,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,2,0,2,0,0,7,7,7,,,,,,,33.2729376999996,None,3,0.09161740000126883,33.2729376999996,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,2,0,2,0,0,8,8,8,,,,,,,33.456442999999126,None,2,0.14771979999932228,33.456442999999126,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,2,0,2,0,0,9,9,9,,,,,,,33.706415099999504,None,3,0.28965750000133994,33.706415099999504,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,2,0,2,0,0,10,10,10,,,,,,,34.09000550000019,None,1,0.2229364999984682,34.09000550000019,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,2,0,2,0,0,11,11,11,,,,,,,34.39180440000018,None,2,0.27620630000092206,34.39180440000018,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,2,0,2,0,0,12,12,12,,,,,,,34.756977499999266,None,None,,34.756977499999266,None,,,,,,,,001,2021_Nov_16_1854,TMTAB,2021.2.3,59.9669582061868,
