NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.693205800009309,None,5.693205800009309,None,6.260688900001696,None,9.311361300002318,None,1,0.9342212000046857,9.311361300002318,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.325222100000246,None,2,0.08785840000200551,10.325222100000246,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.484854200010886,None,3,0.006805900004110299,10.484854200010886,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.568451500002993,None,1,0.10591830000339542,10.568451500002993,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.748911700007739,None,2,0.03144609999435488,10.748911700007739,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,10.85289140000532,None,3,0.007846100008464418,10.85289140000532,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,10.93646230000013,None,1,0.06301830000302289,10.93646230000013,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,11.07583150001301,None,3,0.11423380000633188,11.07583150001301,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,11.297390400010045,None,2,0.45372479999787174,11.297390400010045,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,11.860029900009977,None,3,0.05998959999124054,11.860029900009977,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,11.992307100008475,None,1,0.2554224999912549,11.992307100008475,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,12.318328300010762,None,2,0.5800307999888901,12.318328300010762,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,12.964022800006205,None,None,,12.964022800006205,None,,,,,,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,14.012246040017637,None,None,14.012246040017637,None,,001,2021_Nov_15_1806,TMTAB,2021.2.3,144.3605549213501,
