NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,5.720086500004982,None,5.720086500004982,None,6.364164200000232,None,9.414245000007213,None,1,0.9998984999983804,9.414245000007213,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.511715200002072,None,2,0.015655399998649955,10.511715200002072,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.60910510001122,None,3,0.09587520000059158,10.60910510001122,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.77586050001264,None,1,0.11321360000874847,10.77586050001264,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.963438100006897,None,2,0.04200200000195764,10.963438100006897,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,11.074496900007944,None,3,0.05438619999040384,11.074496900007944,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,11.19954700001108,None,1,0.08410059999732766,11.19954700001108,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,11.366322800007765,None,3,0.1031799000047613,11.366322800007765,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,11.546829300001264,None,2,0.17593340000894386,11.546829300001264,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,11.810743100009859,None,3,0.01228609999816399,11.810743100009859,None,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,142.69895087478594,
