NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,,,,,,,,,10.919012299971655,None,"['2', '3']",1,"[-0.023627899936400354, 0.06610830000136048]",10.919012299971655,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,,,,,,,,,11.078368099988438,None,"['1', '2']",1,"[0.06454809999559075, 0.16851049999240786]",11.078368099988438,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,,,,,,,,,11.350047099986114,None,['3'],1,[-0.011394999921321869],11.350047099986114,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,,,,,,,,,11.440538899973035,None,['1'],1,[0.6433477000100538],11.440538899973035,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,,,,,,,,,12.168498000013642,None,"['2', '3']",1,"[0.30058669997379184, 0.6541767000453547]",12.168498000013642,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,,,,,,,,,12.932424200000241,None,['1'],1,[0.18298570008482784],12.932424200000241,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,,,,,,,,,13.20359930000268,None,"['2', '3']",1,"[0.0776773999677971, 0.24627040000632405]",13.20359930000268,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,,,,,,,,,13.537456499994732,None,"['2', '1']",1,"[0.31732160004321486, 0.6573902000673115]",13.537456499994732,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,,,,,,,,,14.272496200050227,None,['2'],1,[0.24707299994770437],14.272496200050227,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,,,,,,,,,14.599106700043194,None,['3'],1,[0.8662199999671429],14.599106700043194,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,,,,,,,,,15.550582400057465,None,None,1,,15.550582400057465,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
A,['3'],TMTstop-A_1_a.png,TMTstop-A_1_a.png,TMTstop-A_1_a.png,10,,,,,0,0,0,0,,,,,,,,,,,,,19.612987600034103,None,"['1', '2', '3']",1,"[0.4283196999458596, 0.5293774999445304, 0.6313897999934852]",19.612987600034103,None,16.547635299968533,None,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
B,['1'],TMTstop-A_1_a.png,TMTstop-A_1_afirstgreen.png,TMTstop-A_1_afirstred.png,10,,,,,0,1,1,1,,,,,,,,,,,,,20.321278300019912,None,['1'],1,[0.07612079998943955],20.321278300019912,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
C,['3'],TMTstop-A_1_alinestimulus0.png,TMTstop-A_1_agreenlinestimulus0.png,TMTstop-A_1_aredlinestimulus0.png,10,,,,,0,2,2,2,,,,,,,,,,,,,20.473782500019297,None,"['2', '3']",1,"[-0.03287410002667457, 0.08026039996184409]",20.473782500019297,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
D,['1'],TMTstop-A_1_alinestimulus1.png,TMTstop-A_1_agreenlinestimulus1.png,TMTstop-A_1_aredlinestimulus1.png,10,,,,,0,3,3,3,,,,,,,,,,,,,20.627353599993512,None,['1'],1,[0.06310869997832924],20.627353599993512,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
E,['2'],TMTstop-A_1_alinestimulus2.png,TMTstop-A_1_agreenlinestimulus2.png,TMTstop-A_1_aredlinestimulus2.png,10,,,,,0,4,4,4,,,,,,,,,,,,,20.765752400038764,None,['2'],1,[-0.016170499962754548],20.765752400038764,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
F,['1'],TMTstop-A_1_alinestimulus3.png,TMTstop-A_1_agreenlinestimulus3.png,TMTstop-A_1_aredlinestimulus3.png,10,,,,,0,5,5,5,,,,,,,,,,,,,20.842358499998227,None,"['3', '1']",1,"[0.004808300058357418, 0.12357470009010285]",20.842358499998227,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
G,['2'],TMTstop-A_1_alinestimulus4.png,TMTstop-A_1_agreenlinestimulus4.png,TMTstop-A_1_aredlinestimulus4.png,10,,,,,0,6,6,6,,,,,,,,,,,,,21.043319300049916,None,['2'],1,[-0.014185399981215596],21.043319300049916,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
H,['3'],TMTstop-A_1_alinestimulus5.png,TMTstop-A_1_agreenlinestimulus5.png,TMTstop-A_1_aredlinestimulus5.png,10,,,,,0,7,7,7,,,,,,,,,,,,,21.1129400000209,None,['3'],1,[0.013050299952737987],21.1129400000209,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
I,['1'],TMTstop-A_1_alinestimulus6.png,TMTstop-A_1_agreenlinestimulus6.png,TMTstop-A_1_aredlinestimulus6.png,10,,,,,0,8,8,8,,,,,,,,,,,,,21.196145600057207,None,['1'],1,[0.05250629992224276],21.196145600057207,None,,,,,,001,2021_Nov_04_1636,TMTAB,2021.2.3,143.30938630824878,
