Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,3,0,16.487258900000597,None,"['1', '2', '3']",1,"[0.011441199996625073, 0.13438019999011885, 0.13888079999014735]",16.487258900000597,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,6,0,16.716321999992942,None,"['1', '2', '3', '1', '3', '2']",1,"[0.06725950000691228, 0.24525950000679586, 0.24995160000980832, 0.41040730000531767, 0.5845732000016142, 0.5892959000047995]",16.716321999992942,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,5,0,17.3892499999929,None,"['1', '2', '1', '2', '3']",1,"[0.08109240001067519, 0.2270110000099521, 0.41854800000146497, 0.6365886999992654, 0.6398487999977078]",17.3892499999929,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,9,0,18.125568399991607,None,"['1', '2', '3', '1', '2', '3', '1', '1', '2']",1,"[0.07040289998985827, 0.24523069999122526, 0.24837190000107512, 0.4003284999926109, 0.5469363999873167, 0.5529286999953911, 0.7208737999899313, 1.2287960999965435, 1.3991765999962809]",18.125568399991607,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,3,0,19.616123599989805,None,"['1', '2', '3']",1,"[0.12744529999326915, 0.20279699999082368, 0.32867269999405835]",19.616123599989805,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,2,0,20.0097359999927,None,"['1', '2']",1,"[0.08695490000536665, 0.26718360000813846]",20.0097359999927,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,,,,,,,1,1,20.372985800000606,None,['1'],1,[0.02856469999824185],20.372985800000606,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,1,1,20.47316409999621,None,['3'],1,[0.055211099999723956],20.47316409999621,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,0,0,0,0,20,20,20,,,,,,,2,0,20.58994389999134,None,"['2', '1']",1,"[-0.04265000000305008, 0.12167350000527222]",20.58994389999134,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,0,0,0,0,21,21,21,,,,,,,2,0,20.801229199991212,None,"['3', '2']",1,"[0.04235059999336954, 0.08469160000095144]",20.801229199991212,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,2,0,20.95232969999779,None,"['1', '3']",1,"[0.07726769999135286, 0.225541499996325]",20.95232969999779,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,0,0,0,0,0,23,23,23,,,,,,,1,1,21.2453436999931,None,['2'],1,[-0.026856800002860837],21.2453436999931,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,0,0,0,0,0,24,24,24,,,,,,,1,1,21.2954391999956,None,['1'],1,[0.0401034999958938],21.2954391999956,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,0,0,0,0,0,25,25,25,,,,,,,5,0,21.395851699999184,None,"['3', '2', '1', '3', '2']",0,"[0.10164310000254773, 0.13821530000132043, 0.26705919999221805, 0.40255980000074487, 0.4504612000018824]",21.395851699999184,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,0,1,1,1,0,0,0,0,,,,,,,1,1,25.513964400000987,None,['2'],1,[0.5962321999977576],25.513964400000987,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,0,1,1,1,0,1,1,1,,,,,,,1,1,26.172626499988837,None,['3'],1,[0.21261719999893103],26.172626499988837,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,0,1,1,1,0,2,2,2,,,,,,,6,0,26.446764199994504,None,"['1', '2', '3', '1', '3', '2']",1,"[0.05424940001103096, 0.2509018999990076, 0.2554043999989517, 0.3975691000086954, 0.5813061000080779, 0.5850031000009039]",26.446764199994504,None,,001,2022_May_10_1514,TMT_fmri,2021.2.3,59.87841090009852,
