NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.948497999925166,None,2,0.9997189999558032,22.948497999925166,None,,,,,,,,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,0:26,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,24.00371650001034,None,,,,,,,,,,,,,27.02710730000399,None,"['1', '2']",1,"[0.3780437000095844, 0.39717819984070957]",27.02710730000399,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,0:26,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,27.54868789995089,None,"['3', '1']",1,"[0.03436250006780028, 0.2844212001655251]",27.54868789995089,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,0:26,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,27.909502200083807,None,['2'],1,[-0.02959810011088848],27.909502200083807,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,0:26,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,27.985440500080585,None,['3'],1,[0.02883009985089302],27.985440500080585,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,0:26,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,28.096887199906632,None,"['1', '2']",1,"[0.08102780021727085, 0.13895610021427274]",28.096887199906632,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,0:26,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,28.333103799959645,None,['3'],1,[0.010734000010415912],28.333103799959645,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,0:26,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,28.416833800030872,None,"['1', '2']",1,"[0.3189218998886645, 0.3946004998870194]",28.416833800030872,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,0:26,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,28.88809200003743,None,"['3', '1']",1,"[0.08155089989304543, 0.4159102998673916]",28.88809200003743,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,0:26,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,29.374414399964735,None,['2'],1,[0.06608979986049235],29.374414399964735,None,,001,2022_Jan_12_1705,TMTAstop-A,2021.2.3,143.24000260628753,
