Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.8199802999733947,18.939810500014573,None,,,,,,,,,,,,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,18.939810500014573,None,2,0,20.878098300017882,None,"['1', '2']",1,"[2.0416011000052094, 2.5516476999910083]",20.878098300017882,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,3,0,23.54459209999186,None,"['3', '2', '1']",1,"[1.0634773000201676, 1.400204700010363, 1.4594116000225767]",23.54459209999186,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,1,25.100333900016267,None,['3'],1,[0.10028840001905337],25.100333900016267,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,2,0,25.316523999994388,None,"['2', '1']",1,"[-0.10245770000619814, 0.03616749998764135]",25.316523999994388,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,1,1,25.45512980001513,None,['3'],1,[0.034570799994980916],25.45512980001513,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,2,0,25.579366299993126,None,"['2', '1']",1,"[-0.08189390000188723, 0.07477479998487979]",25.579366299993126,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,2,0,25.762264499993762,None,"['3', '2']",1,"[0.014461700018728152, 0.029515400005038828]",25.762264499993762,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,1,1,25.91434780001873,None,['1'],1,[0.023415000003296882],25.91434780001873,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,5,0,26.03897510000388,None,"['2', '3', '2', '1', '3']",1,"[0.04489160000230186, 0.31686599997919984, 0.32476399998995475, 0.47554279997712, 0.5991161999991164]",26.03897510000388,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,1,1,26.72690280000097,None,['2'],1,[-0.07016489998204634],26.72690280000097,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,1,1,26.81551820001914,None,['1'],1,[-0.00986749998992309],26.81551820001914,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,2,0,26.898976700002095,None,"['3', '2']",1,"[0.09444970000186004, 0.15262860001530498]",26.898976700002095,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,2,0,27.225247399997897,None,"['1', '3']",1,"[-0.08565550000639632, 0.04846429999452084]",27.225247399997897,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,1,1,27.364706199994544,None,['2'],1,[-0.0803246000141371],27.364706199994544,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,10,0,27.447613399999682,None,"['1', '3', '2', '1', '3', '2', '1', '3', '2', '1']",0,"[-0.01754050000454299, 0.13415250001708046, 0.14620069999364205, 0.2997236000082921, 0.41201830000500195, 0.4329137000022456, 0.6285360000038054, 0.7526290999958292, 0.7917255999927875, 0.9210678999952506]",27.447613399999682,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,1,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1,1,44.092117499996675,None,['1'],1,[1.3885551000130363],44.092117499996675,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,2,['3'],3,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,TMT_A,1,2,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,3,0,45.61384679999901,None,"['2', '1', '3']",1,"[0.09810050000669435, 0.1730606000055559, 0.29657490001409315]",45.61384679999901,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,3,['1'],1,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,TMT_A,1,3,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,2,0,46.044099499995355,None,"['2', '1']",1,"[-0.06574790002196096, 0.03749069999321364]",46.044099499995355,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,TMT_A,1,4,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,2,0,46.183208000002196,None,"['2', '3']",1,"[0.007148400007281452, 0.012097600003471598]",46.183208000002196,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,5,['1'],1,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,TMT_A,1,5,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,1,1,46.2883479000011,None,['1'],1,[0.051957799994852394],46.2883479000011,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,TMT_A,1,6,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,1,1,46.426479999994626,None,['3'],1,[0.011230800009798259],46.426479999994626,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,7,['1'],1,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,TMT_A,1,7,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,2,0,46.52354120000382,None,"['2', '1']",1,"[-0.057872400007909164, 0.07045020000077784]",46.52354120000382,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,8,['2'],2,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,TMT_A,1,8,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,2,0,46.738694700005,None,"['3', '2']",1,"[0.0016471999988425523, 0.0133507999998983]",46.738694700005,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,9,['3'],3,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,TMT_A,1,9,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,15,0,46.8704604000086,None,"['1', '3', '2', '1', '3', '2', '1', '3', '2', '1', '3', '2', '1', '2', '3']",1,"[0.016723899985663593, 0.1588525999977719, 0.17779089999385178, 0.31261239998275414, 0.4506301999790594, 0.4741714999836404, 0.6257136999920476, 0.7656600000045728, 0.7896522999799345, 0.9309662999876309, 1.0678591000032611, 1.0872668999945745, 1.3298423999804072, 1.556446300004609, 3.3512804999772925]",46.8704604000086,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,TMT_A,1,10,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,4,0,50.35073940001894,None,"['3', '3', '2', '1']",1,"[0.12141919997520745, 0.3748032999865245, 0.4671535999805201, 0.5715574999921955]",50.35073940001894,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,11,['3'],3,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,TMT_A,1,11,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,1,1,51.04584770000656,None,['3'],1,[0.023881200002506375],51.04584770000656,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,12,['2'],2,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,TMT_A,1,12,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,1,1,51.179365200019674,None,['2'],1,[-0.07616180001059547],51.179365200019674,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,13,['1'],1,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,TMT_A,1,13,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,1,1,51.3247493999952,None,['1'],1,[-0.12292560000787489],51.3247493999952,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,14,['2'],2,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,TMT_A,1,14,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,5,0,51.42797019999125,None,"['2', '3', '1', '3', '2']",1,"[-0.08943030002410524, -0.08035060000838712, 0.029939500003820285, 0.16504159997566603, 0.1998293999931775]",51.42797019999125,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,TMT_A,1,15,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,3,0,51.740274700016016,None,"['3', '2', '1']",1,"[0.13958829999319278, 0.1753823999897577, 0.31915580001077615]",51.740274700016016,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,16,['2'],2,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,TMT_A,1,16,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,2,0,52.14879400000791,None,"['3', '2']",1,"[0.07193070001085289, 0.11176540001179092]",52.14879400000791,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,17,['1'],1,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,TMT_A,1,17,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,1,1,52.37080110001261,None,['1'],1,[0.021466500009410083],52.37080110001261,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_1.xlsx,0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,TMT_A,1,18,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,0,0,52.48180340000545,None,None,0,,52.48180340000545,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_2.xlsx,26:52,1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,2,26,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,0,0,57.21476240003831,None,None,0,,57.21476240003831,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_3.xlsx,52:78,1,['1'],1,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMT_A,3,51,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,0,0,60.320555200014496,None,None,0,,60.320555200014496,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
TMTstop-A_1_4.xlsx,78:104,1,['2'],2,TMTstop-A_1_4.png,TMTstop-A_1_4.png,TMTstop-A_1_4.png,TMT_A,4,76,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,0,0,63.409538000030444,None,None,0,,63.409538000030444,None,,001,2022_Apr_29_1049,TMT_fmri,2021.2.3,142.94127397958752,
