NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,6.527131000002555,None,6.527131000002555,None,7.240625200000068,None,10.291021299999557,None,1,0.8469963999959873,10.291021299999557,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.2219150000019,None,2,0.14747889999853214,11.2219150000019,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,11.451380899998185,None,3,0.38396459999785293,11.451380899998185,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,11.916869300002872,None,1,0.5052771999980905,11.916869300002872,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,12.520664299998316,None,2,0.14418960000330117,12.520664299998316,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,12.73588600000221,None,3,0.2904409000038868,12.73588600000221,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,13.111862099998689,None,1,0.3349988000045414,13.111862099998689,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,13.534698900002695,None,3,0.7969253000046592,13.534698900002695,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,14.430549099997734,None,2,1.9565421000006609,14.430549099997734,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,16.48578439999983,None,3,0.8683873999980278,16.48578439999983,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,17.423774900002172,None,1,0.892851900003734,17.423774900002172,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,18.395423100002517,None,2,0.7598296999931335,18.395423100002517,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,19.243505899998127,None,None,,19.243505899998127,None,,,,,,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20.24321001000135,None,None,20.24321001000135,None,,001,2021_Nov_15_1515,TMTAB,2021.2.3,143.90311291987467,
,,,,,,,,,,,,,,,,,,,,,,20.24719719999848,None,,,,,,,,,,,,,,,,,,
