Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C3,52:78,24,['1'],1,TMTstop-control_1_3linestimulus21.png,TMTstop-control_1_3greenlinestimulus21.png,TMTstop-control_1_3redlinestimulus21.png,TMT_Control,C3,74,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,0,0,,131.25501809999696,None,None,0,,131.25501809999696,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,25,['2'],2,TMTstop-control_1_3linestimulus22.png,TMTstop-control_1_3greenlinestimulus22.png,TMTstop-control_1_3redlinestimulus22.png,TMT_Control,C3,75,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,0,0,,131.2883921199973,None,None,0,,131.2883921199973,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C3,52:78,None,None,None,TMTstop-control_1_3linestimulus23.png,TMTstop-control_1_3greenlinestimulus23.png,TMTstop-control_1_3redlinestimulus23.png,TMT_Control,C3,Feedback_last,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,0,0,,131.32176613999764,None,None,1,,131.32176613999764,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,1,['2'],2,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMTstop-control_1_4.png,TMT_Control,C4,76,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,0,0,,133.78847434000636,None,None,0,,133.78847434000636,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,2,['1'],1,TMTstop-control_1_4.png,TMTstop-control_1_4firstgreen.png,TMTstop-control_1_4firstred.png,TMT_Control,C4,77,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,0,0,,133.8218483600067,None,None,0,,133.8218483600067,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,3,['3'],3,TMTstop-control_1_4linestimulus0.png,TMTstop-control_1_4greenlinestimulus0.png,TMTstop-control_1_4redlinestimulus0.png,TMT_Control,C4,78,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,0,0,,133.8719093900072,None,None,0,,133.8719093900072,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,4,['1'],1,TMTstop-control_1_4linestimulus1.png,TMTstop-control_1_4greenlinestimulus1.png,TMTstop-control_1_4redlinestimulus1.png,TMT_Control,C4,79,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,0,0,,133.9219704200077,None,None,0,,133.9219704200077,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,5,['3'],3,TMTstop-control_1_4linestimulus2.png,TMTstop-control_1_4greenlinestimulus2.png,TMTstop-control_1_4redlinestimulus2.png,TMT_Control,C4,80,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,0,0,,133.95534444000805,None,None,0,,133.95534444000805,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,6,['1'],1,TMTstop-control_1_4linestimulus3.png,TMTstop-control_1_4greenlinestimulus3.png,TMTstop-control_1_4redlinestimulus3.png,TMT_Control,C4,81,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,0,0,,133.98871846000839,None,None,0,,133.98871846000839,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,7,['3'],3,TMTstop-control_1_4linestimulus4.png,TMTstop-control_1_4greenlinestimulus4.png,TMTstop-control_1_4redlinestimulus4.png,TMT_Control,C4,82,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,0,0,,134.02209248000872,None,None,0,,134.02209248000872,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,8,['1'],1,TMTstop-control_1_4linestimulus4.png,TMTstop-control_1_4greenlinestimulus5.png,TMTstop-control_1_4redlinestimulus5.png,TMT_Control,C4,83,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,0,0,,134.05546650000906,None,None,0,,134.05546650000906,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,9,['3'],3,TMTstop-control_1_4linestimulus6.png,TMTstop-control_1_4greenlinestimulus6.png,TMTstop-control_1_4redlinestimulus6.png,TMT_Control,C4,84,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,0,0,,134.0888405200094,None,None,0,,134.0888405200094,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,10,['2'],2,TMTstop-control_1_4linestimulus7.png,TMTstop-control_1_4greenlinestimulus7.png,TMTstop-control_1_4redlinestimulus7.png,TMT_Control,C4,85,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,0,0,,134.12221454000974,None,None,0,,134.12221454000974,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,11,['1'],1,TMTstop-control_1_4linestimulus8.png,TMTstop-control_1_4greenlinestimulus8.png,TMTstop-control_1_4redlinestimulus8.png,TMT_Control,C4,86,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,0,0,,134.15558856001007,None,None,0,,134.15558856001007,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,12,['3'],3,TMTstop-control_1_4linestimulus9.png,TMTstop-control_1_4greenlinestimulus9.png,TMTstop-control_1_4redlinestimulus9.png,TMT_Control,C4,87,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,0,0,,134.1889625800104,None,None,0,,134.1889625800104,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,13,['2'],2,TMTstop-control_1_4linestimulus10.png,TMTstop-control_1_4greenlinestimulus10.png,TMTstop-control_1_4redlinestimulus10.png,TMT_Control,C4,88,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,0,0,,134.22233660001075,None,None,0,,134.22233660001075,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,14,['3'],3,TMTstop-control_1_4linestimulus11.png,TMTstop-control_1_4greenlinestimulus11.png,TMTstop-control_1_4redlinestimulus11.png,TMT_Control,C4,89,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,0,0,,134.23902361001092,None,None,0,,134.23902361001092,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,15,['2'],2,TMTstop-control_1_4linestimulus12.png,TMTstop-control_1_4greenlinestimulus12.png,TMTstop-control_1_4redlinestimulus12.png,TMT_Control,C4,90,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,0,0,,134.27239763001126,None,None,0,,134.27239763001126,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,16,['1'],1,TMTstop-control_1_4linestimulus13.png,TMTstop-control_1_4greenlinestimulus13.png,TMTstop-control_1_4redlinestimulus13.png,TMT_Control,C4,91,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,0,0,,134.3057716500116,None,None,0,,134.3057716500116,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,17,['3'],3,TMTstop-control_1_4linestimulus14.png,TMTstop-control_1_4greenlinestimulus14.png,TMTstop-control_1_4redlinestimulus14.png,TMT_Control,C4,92,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,0,0,,134.33914567001193,None,None,0,,134.33914567001193,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,18,['1'],1,TMTstop-control_1_4linestimulus15.png,TMTstop-control_1_4greenlinestimulus15.png,TMTstop-control_1_4redlinestimulus15.png,TMT_Control,C4,93,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,0,0,,134.37251969001227,None,None,0,,134.37251969001227,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,19,['2'],2,TMTstop-control_1_4linestimulus16.png,TMTstop-control_1_4greenlinestimulus16.png,TMTstop-control_1_4redlinestimulus16.png,TMT_Control,C4,94,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,0,0,,134.4058937100126,None,None,0,,134.4058937100126,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,20,['1'],1,TMTstop-control_1_4linestimulus17.png,TMTstop-control_1_4greenlinestimulus17.png,TMTstop-control_1_4redlinestimulus17.png,TMT_Control,C4,95,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,0,0,,134.4559547400131,None,None,0,,134.4559547400131,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
C4,78:104,21,['2'],2,TMTstop-control_1_4linestimulus18.png,TMTstop-control_1_4greenlinestimulus18.png,TMTstop-control_1_4redlinestimulus18.png,TMT_Control,C4,96,None,1,,,,,,,,,,,,,,,,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,0,0,,134.48932876001345,None,None,0,,134.48932876001345,None,,,,001,2022_Nov_17_2348,TMT_fmri,2021.2.3,59.925847758175564,
