NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,6.666820000000371,None,6.666820000000371,None,8.212277700000413,None,2,1,1.4527327999985573,8.212277700000413,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,9.745513500000015,None,3,1,0.6855642999998963,9.745513500000015,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,10.51261280000108,None,1,1,0.9869598999994196,10.51261280000108,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,11.579487700000755,None,3,0,1.6265666999988753,11.579487700000755,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,13.280557600000975,None,1,0,1.3635460000004969,13.280557600000975,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,14.71457349999946,None,2,1,1.5253462999990006,14.71457349999946,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,16.31523390000075,None,1,1,3.2007237000016175,16.31523390000075,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,19.583512700000938,None,3,1,1.1575396999996883,19.583512700000938,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,20.81743490000008,None,3,0,1.0965477999998257,20.81743490000008,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,21.984639000000243,None,1,0,1.2040251999987959,21.984639000000243,None,,001,2021_Oct_21_1840,TMTAB,2021.2.3,59.98073418855186,
