NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,1,29.413831199984998,None,"['1', '2']",1,"[1.0609631999395788, 1.212586099980399]",29.413831199984998,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,2,1,30.726959299994633,None,"['3', '1']",1,"[-0.0030177999287843704, 0.194558700080961]",30.726959299994633,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,1,1,31.004493799991906,None,['2'],1,[-0.03394680004566908],31.004493799991906,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,1,1,31.08754949993454,None,['3'],1,[0.029779599979519844],31.08754949993454,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,2,1,31.209951899945736,None,"['1', '2']",1,"[0.06282260012812912, 0.14429110009223223]",31.209951899945736,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,1,1,31.449237399967387,None,['3'],1,[-0.003233900060877204],31.449237399967387,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,2,1,31.525185599923134,None,"['1', '2']",1,"[0.07531050010584295, 0.1173356999643147]",31.525185599923134,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,2,1,31.726393399992958,None,"['3', '1']",1,"[0.03545160009525716, 0.2660902999341488]",31.726393399992958,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,2,1,32.08909639995545,None,"['1', '2']",1,"[0.2907803999260068, 0.42394059989601374]",32.08909639995545,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,2,1,32.62927969987504,None,"['3', '1']",1,"[-0.0705964001826942, 0.11763899982906878]",32.62927969987504,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,1,1,32.83054449991323,None,['2'],1,[-0.049256599973887205],32.83054449991323,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,1,1,32.907096799928695,None,['3'],1,[-0.019914899952709675],32.907096799928695,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,2,1,32.98382279998623,None,"['1', '2']",1,"[0.050576699897646904, 0.13167169992811978]",32.98382279998623,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,3,1,33.200874499976635,None,"['1', '2', '3']",1,"[0.19749339995905757, 0.20055789989419281, 0.3755885998252779]",33.200874499976635,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,1,1,33.69165599998087,None,['1'],1,[0.06779529992491007],33.69165599998087,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,4,1,33.83794149989262,None,"['2', '1', '2', '3']",1,"[-0.03638949990272522, 0.5500134001486003, 0.6129431000445038, 0.7205170001834631]",33.83794149989262,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,2,1,34.67224149988033,None,"['1', '2']",1,"[0.04960380005650222, 0.10867410013452172]",34.67224149988033,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,1,1,34.893145400099456,None,['3'],1,[-0.010430300142616034],34.893145400099456,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,1,1,34.969564399914816,None,['1'],1,[0.06350160017609596],34.969564399914816,None,,001,2022_Feb_02_1213,TMTAstop-A,2021.2.3,141.39611724293184,
