Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Block_file,Condition_rows,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,s,0.8649217000056524,8.871297099991352,None,,,,001,2022_Nov_17_1703,TMT_fmri,2021.2.3,144.0150236476586,
,,,,,,,,,,8.871297099991352,None,,,,,,,
