NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMT_B,1,1,1.0,36.509925842285156,36.509925842285156,0.0,,1.0,1.0,0.0,2,2,3,-19.647000400000252,-16.628814700001385,-13.76388759999827,36.509925842285156,36.509925842285156,0.0,,0.0
A,['1'],1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,TMT_B,1,2,1.0,36.64505386352539,36.64505386352539,0.0,,1.0,1.0,0.0,3,3,1,6.468497599998955,10.309610299998894,11.346144300012384,36.64505386352539,36.64505386352539,0.0,,1.0
2,['3'],3,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,TMT_B,1,3,1.0,48.08347702026367,48.08347702026367,0.0,,1.0,1.0,0.0,3,2.7695345999964047,48.08347702026367,48.08347702026367,0.0,,2.0
B,['2'],2,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,TMT_B,1,4,1.0,51.0484504699707,51.0484504699707,0.0,,1.0,1.0,0.0,2,1.815270999999484,51.0484504699707,51.0484504699707,0.0,,3.0
3,['1'],1,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,TMT_B,1,5,1.0,52.97529602050781,52.97529602050781,0.0,,1.0,1.0,0.0,1,2.0472330000047805,52.97529602050781,52.97529602050781,0.0,,4.0
C,['3'],3,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,TMT_B,1,6,1.0,55.18705749511719,55.18705749511719,0.0,,1.0,1.0,0.0,3,1.7270420999993803,55.18705749511719,55.18705749511719,0.0,,5.0
4,['2'],2,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,TMT_B,1,7,1.0,57.00004959106445,57.00004959106445,0.0,,1.0,1.0,0.0,3,3,1,2,3.425176399992779,6.960720999995829,7.601071699988097,8.261307699998724,57.00004959106445,57.00004959106445,0.0,,6.0
D,['1'],1,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,TMT_B,1,8,1.0,65.403076171875,65.403076171875,0.0,,1.0,1.0,0.0,1,9.631194100002176,65.403076171875,65.403076171875,0.0,,7.0
5,['3'],3,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,TMT_B,1,9,1.0,75.18418884277344,75.18418884277344,0.0,,1.0,1.0,0.0,3,2.891735199998948,75.18418884277344,75.18418884277344,0.0,,8.0
E,['1'],1,TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,TMT_B,1,10,1.0,78.238037109375,78.238037109375,0.0,,1.0,1.0,0.0,1,2.0054691999976058,78.238037109375,78.238037109375,0.0,,9.0
