NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,,,,,5.745369600015692,None,5.745369600015692,None,6.390941399964504,None,['2'],1,[1.0698171000694856],6.390941399964504,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,7.543599699973129,None,['1'],1,[1.3319826000370085],7.543599699973129,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,8.947316500009038,None,"['1', '2', '1', '1', '2', '3']",1,"[0.30671769997570664, 0.6184259000001475, 1.2414241000078619, 1.7111216000048444, 2.1950859000207856, 2.5217772000469267]",8.947316500009038,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,11.565463299979456,None,['2'],1,[0.1735311000375077],11.565463299979456,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,11.814787599956617,None,['1'],1,[-0.05150650010909885],11.814787599956617,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,11.897368100006133,None,"['3', '1', '2']",1,"[0.04303770000115037, 0.2521520999725908, 0.38688959996216]",11.897368100006133,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,12.398340699961409,None,"['3', '1']",1,"[-0.03737780009396374, 0.13630149990785867]",12.398340699961409,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,12.641835800022818,None,['2'],1,[0.03286759997718036],12.641835800022818,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,12.759510000003502,None,['3'],1,[-0.02706859994214028],12.759510000003502,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,12.836010799976066,None,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '3', '1']",1,"[0.5187469000229612, 0.7436222000978887, 0.961013299995102, 1.1868304000236094, 1.4107247000792995, 1.6472245000768453, 1.8657749000703916, 2.091403800062835, 2.330650100018829, 2.6949119000928476, 2.8932770000537857, 3.0155698000453413]",12.836010799976066,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,15.953702099970542,None,"['2', '3']",1,"[0.04509980010334402, 0.1493579000234604]",15.953702099970542,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,16.210691999993287,None,"['1', '2']",1,"[0.08775669999886304, 0.17567820008844137]",16.210691999993287,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,16.467441600048915,None,"['3', '1']",1,"[0.009062599972821772, 0.15702919999603182]",16.467441600048915,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
G,['3'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,0,13,13,13,,,,,,,,,16.724508099956438,None,"['2', '3']",1,"[0.03489409992471337, 0.11918089992832392]",16.724508099956438,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
8,['1'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,0,14,14,14,,,,,,,,,16.961013399995863,None,['1'],1,[0.10333910002373159],16.961013399995863,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
H,['2'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,17.14807690004818,None,['2'],1,[0.5906658000312746],17.14807690004818,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
9,['3'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,17.82181670004502,None,['3'],1,[-0.0358115000417456],17.82181670004502,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
I,['2'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,17.904622600064613,None,"['1', '2']",1,"[0.07782160001806915, 0.20389919995795935]",17.904622600064613,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
10,['1'],TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,18.217576800030656,None,"['3', '1']",1,"[0.018897500005550683, 0.18464180000592023]",18.217576800030656,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
J,['2'],TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,18.509165000054054,None,['2'],1,[0.020097099943086505],18.509165000054054,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
11,['3'],TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,18.62030249997042,None,['3'],1,[-0.012457300093956292],18.62030249997042,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
K,['1'],TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,18.703913599951193,None,['1'],1,[0.38030809990596026],18.703913599951193,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
12,['3'],TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,19.175797400064766,None,"['2', '3']",1,"[0.04119889996945858, 0.18775599997024983]",19.175797400064766,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
L,['1'],TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,19.48121620004531,None,"['3', '3', '1']",1,"[0.8092225000727922, 1.3932720000157133, 1.9204058001050726]",19.48121620004531,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
13,['2'],TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,21.488986399956048,None,['2'],1,[0.9519433999666944],21.488986399956048,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
None,None,TMTstop-B_1_1linestimulus23.png,TMTstop-B_1_1greenlinestimulus23.png,TMTstop-B_1_1redlinestimulus23.png,None,0,25,25,25,,,,,,,,,22.529770700028166,None,None,1,,22.529770700028166,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
1,['2'],TMTstop-B_1_2.png,TMTstop-B_1_2.png,TMTstop-B_1_2.png,10,,,,,0,0,0,0,,,,,26.60571869998239,None,"['1', '2']",1,"[0.8780025000451133, 1.0188789000967517]",26.60571869998239,None,23.533903200062923,None,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
A,['3'],TMTstop-B_1_2.png,TMTstop-B_1_2firstgreen.png,TMTstop-B_1_2firstred.png,10,,,,,0,1,1,1,,,,,27.731462500058115,None,['3'],1,[0.021703399950638413],27.731462500058115,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
2,['1'],TMTstop-B_1_2linestimulus0.png,TMTstop-B_1_2greenlinestimulus0.png,TMTstop-B_1_2redlinestimulus0.png,10,,,,,0,2,2,2,,,,,27.82806269999128,None,['1'],1,[0.21947110001929104],27.82806269999128,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
B,['2'],TMTstop-B_1_2linestimulus1.png,TMTstop-B_1_2greenlinestimulus1.png,TMTstop-B_1_2redlinestimulus1.png,10,,,,,0,3,3,3,,,,,28.12670370005071,None,['2'],1,[0.02158249996136874],28.12670370005071,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
3,['3'],TMTstop-B_1_2linestimulus2.png,TMTstop-B_1_2greenlinestimulus2.png,TMTstop-B_1_2redlinestimulus2.png,10,,,,,0,4,4,4,,,,,28.223890300025232,None,['3'],1,[0.01969200000166893],28.223890300025232,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
C,['1'],TMTstop-B_1_2linestimulus3.png,TMTstop-B_1_2greenlinestimulus3.png,TMTstop-B_1_2redlinestimulus3.png,10,,,,,0,5,5,5,,,,,28.32205800001975,None,['1'],1,[0.07605659996625036],28.32205800001975,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
4,['2'],TMTstop-B_1_2linestimulus4.png,TMTstop-B_1_2greenlinestimulus4.png,TMTstop-B_1_2redlinestimulus4.png,10,,,,,0,6,6,6,,,,,28.480970600037836,None,['2'],1,[-0.009002799983136356],28.480970600037836,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
D,['3'],TMTstop-B_1_2linestimulus5.png,TMTstop-B_1_2greenlinestimulus5.png,TMTstop-B_1_2redlinestimulus5.png,10,,,,,0,7,7,7,,,,,28.550534900045022,None,['3'],1,[0.04137999995145947],28.550534900045022,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
5,['2'],TMTstop-B_1_2linestimulus6.png,TMTstop-B_1_2greenlinestimulus6.png,TMTstop-B_1_2redlinestimulus6.png,10,,,,,0,8,8,8,,,,,28.661777000059374,None,"['1', '2']",1,"[0.07193470001220703, 0.16378429997712374]",28.661777000059374,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
E,['1'],TMTstop-B_1_2linestimulus7.png,TMTstop-B_1_2greenlinestimulus7.png,TMTstop-B_1_2redlinestimulus7.png,10,,,,,0,9,9,9,,,,,28.90428460005205,None,"['3', '1']",1,"[0.015332499984651804, 0.19943459995556623]",28.90428460005205,None,,,,001,2021_Nov_03_1621,TMTAB,2021.2.3,145.403575045794,
