NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,3,0.550645700073801,7.332025300012901,None,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,11.000569400028326,None,1,1.5396907000103965,11.000569400028326,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,12.635235800058581,None,2,0.012996300007216632,12.635235800058581,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,12.735142200021073,None,3,0.28004570002667606,12.735142200021073,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,13.10217119997833,None,1,0.029016299988143146,13.10217119997833,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,13.218643600004725,None,2,0.24776460009161383,13.218643600004725,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,13.569041099981405,None,3,0.33279459993354976,13.569041099981405,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,14.002302000066265,None,1,0.052818199968896806,14.002302000066265,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,14.152496700058691,None,3,0.07887870003469288,14.152496700058691,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,14.319464100059122,None,2,0.09943229996133596,14.319464100059122,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,14.502616700017825,None,3,0.03527570003643632,14.502616700017825,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,14.635923400055617,None,1,0.04287859995383769,14.635923400055617,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,14.771435000002384,None,2,0.5939075000351295,14.771435000002384,None,,,,,,,,,,,,,,,001,2022_Jan_24_1508,TMTAstop-A,2021.2.3,59.861492455473574,
