Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB1.thisRepN,Blocks_TMTB1.thisTrialN,Blocks_TMTB1.thisN,Blocks_TMTB1.thisIndex,trials_TMTB1.thisRepN,trials_TMTB1.thisTrialN,trials_TMTB1.thisN,trials_TMTB1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.3851971998810768,12.281864800024778,None,,,,,,,,,,,,,,,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,1,['2'],2,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.281864800024778,None,27.191882899962366,None,2,0,8.744324499741197,34.52426109975204,None,"['1', '2']",1,"[1.246052899863571, 1.351891300175339]",34.52426109975204,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,2,['1'],1,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1firstgreen.png,Images/TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,8.950328900013119,35.96943769976497,None,"['3', '1']",1,"[-0.020706700161099434, 0.12802059995010495]",35.96943769976497,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,3,['3'],3,Images/TMTstop-control_1_1linestimulus0.png,Images/TMTstop-control_1_1greenlinestimulus0.png,Images/TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,9.06635869992897,36.18615370010957,None,"['2', '3']",1,"[-0.03954679984599352, 0.033914499916136265]",36.18615370010957,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,4,['1'],1,Images/TMTstop-control_1_1linestimulus1.png,Images/TMTstop-control_1_1greenlinestimulus1.png,Images/TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.203375599812716,36.28944339975715,None,['1'],1,[0.0571322999894619],36.28944339975715,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,5,['3'],3,Images/TMTstop-control_1_1linestimulus2.png,Images/TMTstop-control_1_1greenlinestimulus2.png,Images/TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,9.35336389997974,36.422933800145984,None,"['2', '3']",1,"[-0.02790360013023019, 0.054790500085800886]",36.422933800145984,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,6,['1'],1,Images/TMTstop-control_1_1linestimulus3.png,Images/TMTstop-control_1_1greenlinestimulus3.png,Images/TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.45340729970485,36.572910299990326,None,['1'],1,[0.031089100055396557],36.572910299990326,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,7,['2'],2,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus4.png,Images/TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.503373499959707,36.67304780008271,None,['2'],1,[-0.00802799966186285],36.67304780008271,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,8,['1'],1,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus5.png,Images/TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,9.703377399593592,36.72332580015063,None,"['3', '1']",1,"[0.021041699685156345, 0.14357100008055568]",36.72332580015063,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
C1,0:26,9,['3'],3,Images/TMTstop-control_1_1linestimulus6.png,Images/TMTstop-control_1_1greenlinestimulus6.png,Images/TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,9.88436899986118,36.923550200182945,None,"['2', '3']",1,"[0.0173873002640903, 0.09081279998645186]",36.923550200182945,None,,,,001,2022_Dec_12_1615,TMT_fmri,2021.2.3,60.52213660714845,
