NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,6.036853799989331,None,6.036853799989331,None,6.492856400000164,None,9.543364999990445,None,1,0.4664589000021806,9.543364999990445,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,10.085466499993345,None,2,0.03354609999223612,10.085466499993345,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,10.196662599992123,None,3,0.00955190000240691,10.196662599992123,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,10.279641299988725,None,1,0.053233299986459315,10.279641299988725,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,10.404739299992798,None,2,0.0069894000043859705,10.404739299992798,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,10.487986599997384,None,3,0.0054284999932860956,10.487986599997384,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,10.571855299989693,None,1,0.046356199993169867,10.571855299989693,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,10.69641769998998,None,3,0.08923349999531638,10.69641769998998,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,10.85612639998726,None,2,0.11951670001144521,10.85612639998726,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,11.050590399987414,None,3,0.005345500001567416,11.050590399987414,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,11.133889899996575,None,1,0.04735550000623334,11.133889899996575,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,11.25946760000079,None,2,0.46464179999020416,11.25946760000079,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,11.807582599998568,None,None,,11.807582599998568,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,12.854489199991804,None,x,1.0453277999913553,12.854489199991804,None,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,13.974115399993025,None,1,3.8055221999966307,13.974115399993025,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,17.84900619999098,None,2,0.2999991999968188,17.84900619999098,None,,,,,,,,001,2021_Nov_15_1805,TMTAB,2021.2.3,143.98931024943278,
