NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,5.813367199996719,None,5.813367199996719,None,6.346435199986445,None,9.396926599991275,None,1,0.512501399993198,9.396926599991275,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,9.987561099987943,None,2,0.10086639999644831,9.987561099987943,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,10.167918099992676,None,3,0.0847868999990169,10.167918099992676,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,10.327967399993213,None,1,0.056706200004555285,10.327967399993213,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,10.467196699988563,None,2,0.08393330000399146,10.467196699988563,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,10.626481199986301,None,3,0.41680960000667255,10.626481199986301,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,11.1610917999933,None,1,0.040039100000285544,11.1610917999933,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,11.272462199995061,None,3,1.047399300005054,11.272462199995061,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,12.411132699999143,None,2,0.3447180000075605,12.411132699999143,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,12.827786599998944,None,3,0.7181408000033116,12.827786599998944,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,13.626356999986456,None,1,0.4758568999968702,13.626356999986456,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,14.174967999992077,None,2,0.42648819999885745,14.174967999992077,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,14.681869299995014,None,None,,14.681869299995014,None,,,,,,,,001,2021_Nov_15_1816,TMTAB,2021.2.3,144.33575964026858,
