Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,2,0,9.915491899999324,66.19421679999505,None,"['3', '1']",1,"[0.034425799996824935, 0.1477528999967035]",66.19421679999505,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,1,1,9.977583399995638,66.39068299999781,None,['2'],1,[0.020838299999013543],66.39068299999781,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,None,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,1,1,10.072708399995463,66.45217079999566,None,['3'],1,[0.05219310000393307],66.45217079999566,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,None,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,2,0,10.275466599996435,66.54930980000063,None,"['1', '2']",1,"[0.07829540000238921, 0.12941159999900265]",66.54930980000063,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,None,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,1,1,10.394542899994121,66.75249189999886,None,['3'],1,[0.07794439999997849],66.75249189999886,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,None,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,2,0,10.665726999999606,66.87087679999968,None,"['1', '2']",1,"[0.1381374999982654, 0.1899926999976742]",66.87087679999968,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,None,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,1,1,10.776671699997678,67.14266909999424,None,['3'],1,[0.06224159999692347],67.14266909999424,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,None,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,2,0,10.991982299994561,67.25628219999635,None,"['1', '2']",1,"[0.09361540000099922, 0.15906279999762774]",67.25628219999635,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,None,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,2,0,11.237268899996707,67.46688039999572,None,"['3', '1']",1,"[0.047405900004378054, 0.17282690000138246]",67.46688039999572,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,None,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,2,0,11.35804300000018,67.71751029999723,None,"['2', '3']",1,"[-0.031919099994411226, 0.06941450000158511]",67.71751029999723,None,,,,,,,,,001,2022_Nov_17_1538,TMT_fmri,2021.2.3,144.44834455001663,
