NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,5.74638910000067,None,5.74638910000067,None,6.383434800001851,None,9.433758099999977,None,1,0.9104645000043092,9.433758099999977,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,10.42009600000165,None,2,0.2716480000017327,10.42009600000165,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,10.767492699997092,None,3,0.1775733999966178,10.767492699997092,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,11.017810199999076,None,1,0.15966300000582123,11.017810199999076,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,11.253646700002719,None,2,0.17027779999625636,11.253646700002719,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,11.49659039999824,None,3,0.12098210000112886,11.49659039999824,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,11.691102199998568,None,1,0.35197840000182623,11.691102199998568,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,0,0,0,0,0,7,7,7,,,,,,,,,,,12.114538800000446,None,3,0.8294172999958391,12.114538800000446,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,0,0,0,0,0,8,8,8,,,,,,,,,,,13.038228500001424,None,2,0.6505147999996552,13.038228500001424,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,0,0,0,0,0,9,9,9,,,,,,,,,,,13.795557799996459,None,3,0.2644616000034148,13.795557799996459,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,0,0,0,0,0,10,10,10,,,,,,,,,,,14.142631599999731,None,1,0.2437671000006958,14.142631599999731,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,0,0,0,0,0,11,11,11,,,,,,,,,,,14.461980799998855,None,2,0.5267047000015737,14.461980799998855,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,0,0,0,0,0,12,12,12,,,,,,,,,,,15.059023599998909,None,None,,15.059023599998909,None,,,,,,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,,001,2021_Nov_15_1443,TMTAB,2021.2.3,144.7492219822788,
,,,,,,,,,,,,,,,,,,,,,,16.056839999997464,None,,,,,,,,,,,,,,,,,,
