NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.027496899943799,None,3,0.02673120005056262,13.027496899943799,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.124564399942756,None,1,0.06796699995175004,13.124564399942756,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.285124100046232,None,2,0.25780689995735884,13.285124100046232,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.632480399915949,None,1,0.1876402001362294,13.632480399915949,None,,,,,,,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.740159099921584,None,1,0.6406951998360455,14.740159099921584,None,,,,,,,,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.440941700013354,None,,,,,,,,,,,,,18.44329490000382,None,"['1', '2']",1,"[0.3591664999257773, 0.4756227999459952]",18.44329490000382,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.999040300026536,None,"['3', '1']",1,"[0.003458899911493063, 0.17200949997641146]",18.999040300026536,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.249320999952033,None,['2'],1,[-0.017684899969026446],19.249320999952033,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.332871299935505,None,['3'],1,[-0.008330099983140826],19.332871299935505,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.402287000091746,None,"['1', '2']",1,"[0.09004929987713695, 0.1274785997811705]",19.402287000091746,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.617161999922246,None,['3'],1,[0.027391500072553754],19.617161999922246,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.722206400008872,None,"['1', '2']",1,"[0.07326550013385713, 0.11664050002582371]",19.722206400008872,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.915878500090912,None,"['3', '1']",1,"[0.04615329997614026, 0.18835009983740747]",19.915878500090912,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21448369999416,None,['2'],1,[-0.045716100139543414],20.21448369999416,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.284320899983868,None,"['3', '1']",1,"[-0.003175700083374977, 0.13254229980520904]",20.284320899983868,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5210263999179,None,['2'],1,[-0.035280399955809116],20.5210263999179,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5963246000465,None,['3'],1,[-0.0007327001076191664],20.5963246000465,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.672640699893236,None,"['1', '2']",1,"[0.06830810010433197, 0.12265900010243058]",20.672640699893236,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.90179069992155,None,['3'],1,[0.018199600046500564],20.90179069992155,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00617769989185,None,['1'],1,[0.0617913999594748],21.00617769989185,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15223119989969,None,"['2', '3']",1,"[-0.002492200117558241, 0.0984871000982821]",21.15223119989969,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.360219199908897,None,"['1', '2']",1,"[0.04100940003991127, 0.09012950002215803]",21.360219199908897,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.533610200043768,None,['3'],1,[0.04442849988117814],21.533610200043768,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.665888899937272,None,['1'],1,[0.06880939984694123],21.665888899937272,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.811897600069642,None,"['2', '3']",1,"[-0.032333899987861514, 0.09595329989679158]",21.811897600069642,None,,001,2022_Jan_12_1640,TMTAstop-A,2021.2.3,143.82715411510353,
