Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0:26,12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,23.10377940000035,None,['3'],1,[-0.021030799951404333],23.10377940000035,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,23.188484200043604,None,"['1', '2']",1,"[0.03079820005223155, 0.09343710006214678]",23.188484200043604,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,23.409266400150955,None,['3'],1,[0.014226800063624978],23.409266400150955,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,23.526366099948063,None,['1'],1,[-0.0232466000597924],23.526366099948063,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,23.60316800000146,None,"['2', '3']",1,"[-0.05208050017245114, 0.061361099826171994]",23.60316800000146,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,23.76249140012078,None,"['1', '2']",1,"[0.06980139994993806, 0.12160539999604225]",23.76249140012078,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,24.005767200142145,None,['3'],1,[0.03894870006479323],24.005767200142145,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,24.130562799982727,None,['1'],1,[0.03666290012188256],24.130562799982727,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,24.2485271000769,None,"['2', '3']",1,"[-0.03990360000170767, 0.12214089999906719]",24.2485271000769,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
0:26,21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,1,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,24.449678600067273,None,['1'],1,[0.16738950018770993],24.449678600067273,None,,,,001,2022_Jan_12_1745,TMTAstop-A,2021.2.3,145.92617879860967,
