NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,2,TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,B,,,,,,,,,0,3,3,3,,,,,,,,,20.38128452000019,None,None,0,,20.38128452000019,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,3,,,,,,,,,0,4,4,4,,,,,,,,,20.447527580000312,None,None,0,,20.447527580000312,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,C,,,,,,,,,0,5,5,5,,,,,,,,,20.506410300000425,None,None,0,,20.506410300000425,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,4,,,,,,,,,0,6,6,6,,,,,,,,,20.572653360000547,None,None,0,,20.572653360000547,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,D,,,,,,,,,0,7,7,7,,,,,,,,,20.638896420000673,None,None,0,,20.638896420000673,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,5,,,,,,,,,0,8,8,8,,,,,,,,,20.697779140000783,None,None,0,,20.697779140000783,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-B_1_2linestimulus7.png,TMT-B_1_2greenlinestimulus7.png,TMT-B_1_2redlinestimulus7.png,10,,E,,,,,,,,,0,9,9,9,,,,,,,,,20.76402220000091,None,None,0,,20.76402220000091,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-B_1_2linestimulus8.png,TMT-B_1_2greenlinestimulus8.png,TMT-B_1_2redlinestimulus8.png,10,,6,,,,,,,,,0,10,10,10,,,,,,,,,20.83026526000103,None,None,0,,20.83026526000103,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-B_1_2linestimulus9.png,TMT-B_1_2greenlinestimulus9.png,TMT-B_1_2redlinestimulus9.png,10,,F,,,,,,,,,0,11,11,11,,,,,,,,,20.88914798000114,None,None,0,,20.88914798000114,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,None,None,TMT-B_1_2greenlinestimulus10.png,TMT-B_1_2redlinestimulus10.png,1,,None,,,,,,,,,0,12,12,12,,,,,,,,,20.955391040001267,None,None,1,,20.955391040001267,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_2.png,TMT-BX_1_2.png,TMT-BX_1_2.png,,7,,,,,,,,,,,,,,0,0,0,0,,,,,24.03174829999989,None,None,0,,24.03174829999989,None,20.976055999999517,None,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_2.png,TMT-BX_1_2firstgreen.png,TMT-BX_1_2firstred.png,,G,,,,,,,,,,,,,,0,1,1,1,,,,,24.09063102,None,None,0,,24.09063102,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_2linestimulus0.png,TMT-BX_1_2greenlinestimulus0.png,TMT-BX_1_2redlinestimulus0.png,,8,,,,,,,,,,,,,,0,2,2,2,,,,,24.156874080000122,None,None,0,,24.156874080000122,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_2linestimulus1.png,TMT-BX_1_2greenlinestimulus1.png,TMT-BX_1_2redlinestimulus1.png,,H,,,,,,,,,,,,,,0,3,3,3,,,,,24.223117140000248,None,None,0,,24.223117140000248,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_2linestimulus2.png,TMT-BX_1_2greenlinestimulus2.png,TMT-BX_1_2redlinestimulus2.png,,9,,,,,,,,,,,,,,0,4,4,4,,,,,24.296720540000386,None,None,0,,24.296720540000386,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,1,TMT-BX_1_2linestimulus3.png,TMT-BX_1_2greenlinestimulus3.png,TMT-BX_1_2redlinestimulus3.png,,I,,,,,,,,,,,,,,0,5,5,5,,,,,24.370323940000524,None,None,0,,24.370323940000524,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_2linestimulus4.png,TMT-BX_1_2greenlinestimulus4.png,TMT-BX_1_2redlinestimulus4.png,,10,,,,,,,,,,,,,,0,6,6,6,,,,,24.43656700000065,None,None,0,,24.43656700000065,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_2linestimulus5.png,TMT-BX_1_2greenlinestimulus5.png,TMT-BX_1_2redlinestimulus5.png,,J,,,,,,,,,,,,,,0,7,7,7,,,,,24.502810060000773,None,None,0,,24.502810060000773,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_2linestimulus6.png,TMT-BX_1_2greenlinestimulus6.png,TMT-BX_1_2redlinestimulus6.png,,11,,,,,,,,,,,,,,0,8,8,8,,,,,24.5690531200009,None,None,0,,24.5690531200009,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_2linestimulus7.png,TMT-BX_1_2greenlinestimulus7.png,TMT-BX_1_2redlinestimulus7.png,,K,,,,,,,,,,,,,,0,9,9,9,,,,,24.627935840001008,None,None,0,,24.627935840001008,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,3,TMT-BX_1_2linestimulus8.png,TMT-BX_1_2greenlinestimulus8.png,TMT-BX_1_2redlinestimulus8.png,,12,,,,,,,,,,,,,,0,10,10,10,,,,,24.694178900001134,None,None,0,,24.694178900001134,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,2,TMT-BX_1_2linestimulus9.png,TMT-BX_1_2greenlinestimulus9.png,TMT-BX_1_2redlinestimulus9.png,,L,,,,,,,,,,,,,,0,11,11,11,,,,,24.760421960001256,None,None,0,,24.760421960001256,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,None,None,TMT-BX_1_2greenlinestimulus10.png,TMT-BX_1_2redlinestimulus10.png,,None,,,,,,,,,,,,,,0,12,12,12,,,,,24.826665020001382,None,None,1,,24.826665020001382,None,,,,,,001,2021_Oct_27_1629,TMTAB,2021.2.3,142.87490016088776,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.844631399999344,None,,,,,,,
