NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,1,21.245504799997434,None,"['1', '2']",1,"[0.4131791000254452, 0.515732100000605]",21.245504799997434,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,2,1,21.846156999934465,None,"['3', '1']",1,"[-0.007543300045654178, 0.1389754000119865]",21.846156999934465,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,1,1,22.07957089995034,None,['2'],1,[-0.019444799982011318],22.07957089995034,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,1,1,22.16316639992874,None,['3'],1,[-0.0019668000750243664],22.16316639992874,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,2,1,22.246387099963613,None,"['1', '2']",1,"[0.02900839992798865, 0.0994026999687776]",22.246387099963613,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,1,1,22.46325579995755,None,['3'],1,[-0.015280400053597987],22.46325579995755,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,2,1,22.546620000037365,None,"['1', '2']",1,"[0.016142799984663725, 0.07611210003960878]",22.546620000037365,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,2,1,22.746803499991074,None,"['3', '1']",1,"[-0.0217169999377802, 0.10659049998503178]",22.746803499991074,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,1,1,22.980090599972755,None,['2'],1,[-0.04431960009969771],22.980090599972755,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,2,1,23.063458299962804,None,"['3', '1']",1,"[-0.041843100101687014, 0.07287949998863041]",23.063458299962804,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
