NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,['2'],TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,1,1,31.650762100005522,None,['2'],1,[-0.02835349994711578],31.650762100005522,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
10,['3'],TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,10,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,1,1,31.73436490003951,None,['3'],1,[-0.027874200022779405],31.73436490003951,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
11,['1'],TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,10,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,1,1,31.81744589994196,None,['1'],1,[-0.006667500012554228],31.81744589994196,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
12,['2'],TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,10,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,1,1,31.900900600012392,None,['2'],1,[-0.012711299932561815],31.900900600012392,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
13,['3'],TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,1,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,1,1,31.98426559998188,None,['3'],1,[0.00387150002643466],31.98426559998188,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
14,['1'],TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,1,1,32.08440269995481,None,['1'],1,[0.011517199920490384],32.08440269995481,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
15,['3'],TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,None,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,2,1,32.184340200037695,None,"['2', '3']",1,"[-0.0035665000323206186, 0.09867229999508709]",32.184340200037695,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
16,['1'],TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,1,1,32.36778999993112,None,['1'],1,[0.025635099969804287],32.36778999993112,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
17,['2'],TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,None,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,1,1,32.48459939996246,None,['2'],1,[-0.03280000004451722],32.48459939996246,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
18,['1'],TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,2,1,32.56786249997094,None,"['3', '1']",1,"[-0.004119599936529994, 0.11294770007953048]",32.56786249997094,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
19,['3'],TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,None,TMTstop-A_1_2.xlsx,26:52,3,,,,,,,,,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,2,1,32.80122869997285,None,"['2', '3']",1,"[-0.04094000009354204, 0.06459219998214394]",32.80122869997285,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
20,['1'],TMTstop-A_1_2linestimulus17.png,TMTstop-A_1_2greenlinestimulus17.png,TMTstop-A_1_2redlinestimulus17.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,1,1,32.984669300029054,None,['1'],1,[-0.0007835000287741423],32.984669300029054,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
21,['2'],TMTstop-A_1_2linestimulus18.png,TMTstop-A_1_2greenlinestimulus18.png,TMTstop-A_1_2redlinestimulus18.png,None,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,1,1,33.068125499994494,None,['2'],1,[0.011982600088231266],33.068125499994494,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
22,['1'],TMTstop-A_1_2linestimulus19.png,TMTstop-A_1_2greenlinestimulus19.png,TMTstop-A_1_2redlinestimulus19.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,2,1,33.16812589997426,None,"['3', '1']",1,"[0.00807630002964288, 0.12121850007679313]",33.16812589997426,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
23,['2'],TMTstop-A_1_2linestimulus20.png,TMTstop-A_1_2greenlinestimulus20.png,TMTstop-A_1_2redlinestimulus20.png,None,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,22,22,22,,,,,,,,,,,,,,,1,1,33.41830180003308,None,['2'],1,[-0.03564150002785027],33.41830180003308,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
24,['1'],TMTstop-A_1_2linestimulus21.png,TMTstop-A_1_2greenlinestimulus21.png,TMTstop-A_1_2redlinestimulus21.png,None,TMTstop-A_1_2.xlsx,26:52,1,,,,,,,,,0,1,1,1,0,23,23,23,,,,,,,,,,,,,,,2,1,33.5017327000387,None,"['3', '1']",1,"[-0.007975799962878227, 0.10493969998788089]",33.5017327000387,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
25,['2'],TMTstop-A_1_2linestimulus22.png,TMTstop-A_1_2greenlinestimulus22.png,TMTstop-A_1_2redlinestimulus22.png,None,TMTstop-A_1_2.xlsx,26:52,2,,,,,,,,,0,1,1,1,0,24,24,24,,,,,,,,,,,,,,,1,1,33.735061099985614,None,['2'],1,[-0.06570699997246265],33.735061099985614,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
None,None,TMTstop-A_1_2linestimulus23.png,TMTstop-A_1_2greenlinestimulus23.png,TMTstop-A_1_2redlinestimulus23.png,None,TMTstop-A_1_2.xlsx,26:52,None,,,,,,,,,0,1,1,1,0,25,25,25,,,,,,,,,,,,,,,4,1,33.81850229995325,None,"['3', '1', '2', '3']",0,"[-0.0551973000401631, 0.11594199994578958, 0.17732029990293086, 0.2988789000082761]",33.81850229995325,None,,001,2022_Jan_24_1505,TMTAstop-A,2021.2.3,59.931737761157514,
