NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,3,TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,3,,,,,,,,,0,4,4,4,,,,,,,,,29.13681220000217,None,2,0,0.25057789999846136,29.13681220000217,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,C,,,,,,,,,0,5,5,5,,,,,,,,,29.470073700002104,None,2,1,0.261619700002484,29.470073700002104,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,4,,,,,,,,,0,6,6,6,,,,,,,,,29.81111349999992,None,2,0,0.18991060000189464,29.81111349999992,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,D,,,,,,,,,0,7,7,7,,,,,,,,,30.081884300001548,None,2,0,0.22501469999770052,30.081884300001548,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,5,,,,,,,,,0,8,8,8,,,,,,,,,30.393790800000716,None,2,0,0.21985420000055456,30.393790800000716,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,3,TMT-B_1_2linestimulus7.png,TMT-B_1_2greenlinestimulus7.png,TMT-B_1_2redlinestimulus7.png,10,,E,,,,,,,,,0,9,9,9,,,,,,,,,30.692254699999467,None,2,0,0.32578270000158227,30.692254699999467,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,1,TMT-B_1_2linestimulus8.png,TMT-B_1_2greenlinestimulus8.png,TMT-B_1_2redlinestimulus8.png,10,,6,,,,,,,,,0,10,10,10,,,,,,,,,31.109048100002838,None,2,0,0.40947849999793107,31.109048100002838,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,2,TMT-B_1_2linestimulus9.png,TMT-B_1_2greenlinestimulus9.png,TMT-B_1_2redlinestimulus9.png,10,,F,,,,,,,,,0,11,11,11,,,,,,,,,31.588182100000267,None,2,1,0.7460713000000396,31.588182100000267,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,None,None,TMT-B_1_2greenlinestimulus10.png,TMT-B_1_2redlinestimulus10.png,1,,None,,,,,,,,,0,12,12,12,,,,,,,,,32.41450520000217,None,None,1,,32.41450520000217,None,,,,001,2021_Oct_27_1713,TMTAB,2021.2.3,144.5943405800966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4117533000026,None,,,,,,,
