NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,6.810824099999991,None,6.810824099999991,None,8.020408999999745,None,2,1,0.6709866999999576,8.020408999999745,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,8.753718099999787,None,3,1,0.38745420000032027,8.753718099999787,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,9.203883099999985,None,3,0,0.3724623000007341,9.203883099999985,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,9.63740979999966,None,1,0,0.25937750000048254,9.63740979999966,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,9.954199499999959,None,2,0,0.10285269999985758,9.954199499999959,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,10.120823299999756,None,3,0,0.09135849999984202,10.120823299999756,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,10.271019799999522,None,1,1,0.11044020000008459,10.271019799999522,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,10.437887399999454,None,2,0,0.057843599999614526,10.437887399999454,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,10.554552699999476,None,3,0,0.033582600000045204,10.554552699999476,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,10.637868299999354,None,1,0,0.09544589999950404,10.637868299999354,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,10.788018100000045,None,2,0,0.03668999999990774,10.788018100000045,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,10.887979599999198,None,2,1,0.19414529999994556,10.887979599999198,None,,,,,,,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
,,,,,,,,,,,,,,,,,,,,,,,,11.10507079999934,None,3,0.10970869999982824,11.10507079999934,None,,001,2021_Oct_21_1753,TMTAB,2021.2.3,59.999664001724184,
,,,,,,,,,,,,,11.238119599999663,None,11.238119599999663,None,,,,,,,,,,,,,,,,,,,,
