NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,NumberLetter,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,0,0,0,0,,,,,,9.998520399996778,None,9.998520399996778,None,10.97180610000214,None,1,1,1.115041700002621,10.97180610000214,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,0,1,1,1,,,,,,,,,,12.172016099997563,None,2,1,1.040969599998789,12.172016099997563,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,,,,,,13.31706739999936,None,1,1,2.263835599995218,13.31706739999936,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,,,,,,15.678936399999657,None,1,0,3.1251963000104297,15.678936399999657,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
3,2,TMT-B_1_1linestimulus2.png,TMT-B_1_1greenlinestimulus2.png,TMT-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,,,,,,18.91524249999202,None,1,0,4.476410400005989,18.91524249999202,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
C,1,TMT-B_1_1linestimulus3.png,TMT-B_1_1greenlinestimulus3.png,TMT-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,,,,,,23.490054800000507,None,1,1,1.176083699989249,23.490054800000507,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
4,2,TMT-B_1_1linestimulus4.png,TMT-B_1_1greenlinestimulus4.png,TMT-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,,,,,,24.768269199994393,None,1,0,1.4523497000045609,24.768269199994393,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
D,3,TMT-B_1_1linestimulus5.png,TMT-B_1_1greenlinestimulus5.png,TMT-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,,,,,,26.3238488999923,None,1,0,1.1853612999984762,26.3238488999923,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
5,2,TMT-B_1_1linestimulus6.png,TMT-B_1_1greenlinestimulus6.png,TMT-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,,,,,,27.615324500002316,None,1,0,0.5745819999865489,27.615324500002316,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
E,1,TMT-B_1_1linestimulus7.png,TMT-B_1_1greenlinestimulus7.png,TMT-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,,,,,,28.29586859999108,None,1,1,0.43992550000257324,28.29586859999108,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
6,2,TMT-B_1_1linestimulus8.png,TMT-B_1_1greenlinestimulus8.png,TMT-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,,,,,,28.84481739999319,None,1,0,0.42197930000838824,28.84481739999319,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
F,3,TMT-B_1_1linestimulus9.png,TMT-B_1_1greenlinestimulus9.png,TMT-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,,,,,,29.374835599999642,None,1,0,0.5429977000021609,29.374835599999642,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
None,None,None,TMT-B_1_1greenlinestimulus10.png,TMT-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,,,,,,30.03206769999815,None,1,0,0.6509624000027543,30.03206769999815,None,,,,001,2021_Oct_28_1619,TMTAB,2021.2.3,100.08707575771476,
,,,,,,,,,,,,,,,,,,,,,,,,,,30.709938999993028,None,,,,,,,
