NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,1,1,1.0,18.980751037597656,18.980751037597656,0.0,,1.0,1.0,0.0,1,2,0.3976502001751214,0.5486253001727164,18.980751037597656,18.980751037597656,0.0,,0.0
2,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,1,2,1.0,19.613021850585938,19.613021850585938,0.0,,1.0,1.0,0.0,3,1,-0.029924500035122037,0.09286719979718328,19.613021850585938,19.613021850585938,0.0,,1.0
3,['2'],2,TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,1,3,1.0,19.806869506835938,19.806869506835938,0.0,,1.0,1.0,0.0,2,-0.01358360005542636,19.806869506835938,19.806869506835938,0.0,,2.0
4,['3'],3,TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,1,4,1.0,19.889528274536133,19.889528274536133,0.0,,1.0,1.0,0.0,3,-0.012628800002858043,19.889528274536133,19.889528274536133,0.0,,3.0
5,['2'],2,TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,1,5,1.0,19.966035842895508,19.966035842895508,0.0,,1.0,1.0,0.0,1,2,0.0374549999833107,0.1318906000815332,19.966035842895508,19.966035842895508,0.0,,4.0
6,['3'],3,TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,1,6,1.0,20.167919158935547,20.167919158935547,0.0,,1.0,1.0,0.0,3,-0.003229999914765358,20.167919158935547,20.167919158935547,0.0,,5.0
7,['2'],2,TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,1,7,1.0,20.243919372558594,20.243919372558594,0.0,,1.0,1.0,0.0,1,2,0.28631610004231334,0.3955538000445813,20.243919372558594,20.243919372558594,0.0,,6.0
8,['1'],1,TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,1,8,1.0,20.73699951171875,20.73699951171875,0.0,,1.0,1.0,0.0,3,1,-0.0322649001609534,0.22551759984344244,20.73699951171875,20.73699951171875,0.0,,7.0
9,['2'],2,TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,1,9,1.0,21.064367294311523,21.064367294311523,0.0,,1.0,1.0,0.0,2,-0.013010299997404218,21.064367294311523,21.064367294311523,0.0,,8.0
10,['1'],1,TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,1,10,1.0,21.139989852905273,21.139989852905273,0.0,,1.0,1.0,0.0,3,1,0.004188499879091978,0.19016969995573163,21.139989852905273,21.139989852905273,0.0,,9.0
11,['2'],2,TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,1,11,1.0,21.4390869140625,21.4390869140625,0.0,,1.0,1.0,0.0,2,-0.02178679988719523,21.4390869140625,21.4390869140625,0.0,,10.0
12,['3'],3,TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,1,12,1.0,21.528032302856445,21.528032302856445,0.0,,1.0,1.0,0.0,3,-0.031884000170975924,21.528032302856445,21.528032302856445,0.0,,11.0
13,['2'],2,TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,13,1.0,21.605308532714844,21.605308532714844,0.0,,1.0,1.0,0.0,1,2,0.059915099991485476,0.1690273000858724,21.605308532714844,21.605308532714844,0.0,,12.0
14,['3'],3,TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,1,14,1.0,21.875749588012695,21.875749588012695,0.0,,1.0,1.0,0.0,3,-0.0518688999582082,21.875749588012695,21.875749588012695,0.0,,13.0
15,['1'],1,TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,1,15,1.0,21.952157974243164,21.952157974243164,0.0,,1.0,1.0,0.0,1,0.014545799931511283,21.952157974243164,21.952157974243164,0.0,,14.0
16,['3'],3,TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,1,16,1.0,22.049835205078125,22.049835205078125,0.0,,1.0,1.0,0.0,2,3,0.00032880017533898354,0.07326259999535978,22.049835205078125,22.049835205078125,0.0,,15.0
17,['2'],2,TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,1,17,1.0,22.21215057373047,22.21215057373047,0.0,,1.0,1.0,0.0,1,2,0.04291349998675287,0.11692889989353716,22.21215057373047,22.21215057373047,0.0,,16.0
18,['3'],3,TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,1,18,1.0,22.417675018310547,22.417675018310547,0.0,,1.0,1.0,0.0,3,-0.005984900053590536,22.417675018310547,22.417675018310547,0.0,,17.0
19,['1'],1,TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,1,19,1.0,22.494112014770508,22.494112014770508,0.0,,1.0,1.0,0.0,1,0.046423800056800246,22.494112014770508,22.494112014770508,0.0,,18.0
20,['3'],3,TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,1,20,1.0,22.619140625,22.619140625,0.0,,1.0,1.0,0.0,2,3,-0.004827199969440699,0.06702040019445121,22.619140625,22.619140625,0.0,,19.0
21,['1'],1,TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,1,21,1.0,22.778690338134766,22.778690338134766,0.0,,1.0,1.0,0.0,1,0.04626360000111163,22.778690338134766,22.778690338134766,0.0,,20.0
22,['3'],3,TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,1,22,1.0,22.904441833496094,22.904441833496094,0.0,,1.0,1.0,0.0,2,3,-0.011076300172135234,0.06893079984001815,22.904441833496094,22.904441833496094,0.0,,21.0
23,['1'],1,TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,1,23,1.0,23.070703506469727,23.070703506469727,0.0,,1.0,1.0,0.0,1,0.027925300179049373,23.070703506469727,23.070703506469727,0.0,,22.0
24,['2'],2,TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,1,24,1.0,23.189273834228516,23.189273834228516,0.0,,1.0,1.0,0.0,2,-0.024984800023958087,23.189273834228516,23.189273834228516,0.0,,23.0
25,['3'],3,TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,1,25,1.0,23.273151397705078,23.273151397705078,0.0,,1.0,1.0,0.0,3,-0.019350500078871846,23.273151397705078,23.273151397705078,0.0,,24.0
None,None,None,TMTstop-A_1_1linestimulus23.png,TMTstop-A_1_1greenlinestimulus23.png,TMTstop-A_1_1redlinestimulus23.png,1,None,1.0,23.356584548950195,23.356584548950195,0.0,,0.0,0.0,0.0,1,2,3,1,0.01722380006685853,0.09322219993919134,0.18184709991328418,0.29252079990692437,23.356584548950195,23.356584548950195,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Feb_02_1504
expName,TMTAstop-A
psychopyVersion,2021.2.3
frameRate,141.00215832777218
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,n,Stim.started_raw,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_raw,key_resp_2.stopped_raw,order
1,['3'],3,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,2,26,1.0,'27.47229',,1.0,1.0,0.0,1,2,3,0.3269919001031667,0.36406400008127093,0.45507400017231703,'27.47229',,0.0
2,['2'],2,TMTstop-A_1_2.png,TMTstop-A_1_2firstgreen.png,TMTstop-A_1_2firstred.png,2,27,1.0,'28.042513',,1.0,1.0,0.0,1,2,-0.0006723999977111816,0.05569049995392561,'28.042513',,1.0
3,['3'],3,TMTstop-A_1_2linestimulus0.png,TMTstop-A_1_2greenlinestimulus0.png,TMTstop-A_1_2redlinestimulus0.png,2,28,1.0,'28.205326',,1.0,1.0,0.0,3,-0.017023400170728564,'28.205326',,2.0
4,['1'],1,TMTstop-A_1_2linestimulus1.png,TMTstop-A_1_2greenlinestimulus1.png,TMTstop-A_1_2redlinestimulus1.png,2,29,1.0,'28.278238',,1.0,1.0,0.0,1,0.021904499968513846,'28.278238',,3.0
5,['2'],2,TMTstop-A_1_2linestimulus2.png,TMTstop-A_1_2greenlinestimulus2.png,TMTstop-A_1_2redlinestimulus2.png,2,30,1.0,'28.37617',,1.0,1.0,0.0,2,0.0005248000379651785,'28.37617',,4.0
6,['3'],3,TMTstop-A_1_2linestimulus3.png,TMTstop-A_1_2greenlinestimulus3.png,TMTstop-A_1_2redlinestimulus3.png,2,31,1.0,'28.452833',,1.0,1.0,0.0,3,0.004869499942287803,'28.452833',,5.0
7,['2'],2,TMTstop-A_1_2linestimulus4.png,TMTstop-A_1_2greenlinestimulus4.png,TMTstop-A_1_2redlinestimulus4.png,2,32,1.0,'28.54271',,1.0,1.0,0.0,1,2,0.032129099825397134,0.09932099981233478,'28.54271',,6.0
8,['1'],1,TMTstop-A_1_2linestimulus5.png,TMTstop-A_1_2greenlinestimulus5.png,TMTstop-A_1_2redlinestimulus5.png,2,33,1.0,'28.736605',,1.0,1.0,0.0,3,1,-0.008166899904608727,0.11172330006957054,'28.736605',,7.0
9,['2'],2,TMTstop-A_1_2linestimulus6.png,TMTstop-A_1_2greenlinestimulus6.png,TMTstop-A_1_2redlinestimulus6.png,2,34,1.0,'28.946014',,1.0,1.0,0.0,2,-0.024369100108742714,'28.946014',,8.0
10,['3'],3,TMTstop-A_1_2linestimulus7.png,TMTstop-A_1_2greenlinestimulus7.png,TMTstop-A_1_2redlinestimulus7.png,2,35,1.0,29.0098274900578,,0.0,0.0,0.0,,'--',29.0098274900578,,9.0
11,['1'],1,TMTstop-A_1_2linestimulus8.png,TMTstop-A_1_2greenlinestimulus8.png,TMTstop-A_1_2redlinestimulus8.png,2,36,0.0,'--','--',,,,'--','--','--','--',
12,['2'],2,TMTstop-A_1_2linestimulus9.png,TMTstop-A_1_2greenlinestimulus9.png,TMTstop-A_1_2redlinestimulus9.png,2,37,0.0,'--','--',,,,'--','--','--','--',
13,['3'],3,TMTstop-A_1_2linestimulus10.png,TMTstop-A_1_2greenlinestimulus10.png,TMTstop-A_1_2redlinestimulus10.png,2,38,0.0,'--','--',,,,'--','--','--','--',
14,['1'],1,TMTstop-A_1_2linestimulus11.png,TMTstop-A_1_2greenlinestimulus11.png,TMTstop-A_1_2redlinestimulus11.png,2,39,0.0,'--','--',,,,'--','--','--','--',
15,['3'],3,TMTstop-A_1_2linestimulus12.png,TMTstop-A_1_2greenlinestimulus12.png,TMTstop-A_1_2redlinestimulus12.png,2,40,0.0,'--','--',,,,'--','--','--','--',
16,['1'],1,TMTstop-A_1_2linestimulus13.png,TMTstop-A_1_2greenlinestimulus13.png,TMTstop-A_1_2redlinestimulus13.png,2,41,0.0,'--','--',,,,'--','--','--','--',
17,['2'],2,TMTstop-A_1_2linestimulus14.png,TMTstop-A_1_2greenlinestimulus14.png,TMTstop-A_1_2redlinestimulus14.png,2,42,0.0,'--','--',,,,'--','--','--','--',
18,['1'],1,TMTstop-A_1_2linestimulus15.png,TMTstop-A_1_2greenlinestimulus15.png,TMTstop-A_1_2redlinestimulus15.png,2,43,0.0,'--','--',,,,'--','--','--','--',
19,['3'],3,TMTstop-A_1_2linestimulus16.png,TMTstop-A_1_2greenlinestimulus16.png,TMTstop-A_1_2redlinestimulus16.png,2,44,0.0,'--','--',,,,'--','--','--','--',
