Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_6.xlsx,130:156,1,['3'],3,TMTstop-control_1_6.png,TMTstop-control_1_6.png,TMTstop-control_1_6.png,TMT_Control,6,126,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,39.102491519995965,None,None,0,,39.102491519995965,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-Control_1_7.xlsx,156:182,1,['1'],1,TMTstop-control_1_7.png,TMTstop-control_1_7.png,TMTstop-control_1_7.png,TMT_Control,7,151,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,42.188001300004544,None,None,0,,42.188001300004544,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-Control_1_8.xlsx,182:208,1,['3'],3,TMTstop-control_1_8.png,TMTstop-control_1_8.png,TMTstop-control_1_8.png,TMT_Control,8,176,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,45.35063061999972,None,None,0,,45.35063061999972,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,1,['3'],3,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMT_B,1,1,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,5,0,68.51714560000983,None,"['1', '3', '2', '1', '3']",1,"[-30.01605940000445, -29.009643800003687, -28.31561679999868, 1.672448199999053, 1.9819162999920081]",68.51714560000983,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,A,['1'],1,TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,TMT_B,1,2,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,1,1,70.6932388000132,None,['1'],1,[0.0827244999964023],70.6932388000132,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,2,['3'],3,TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,TMT_B,1,3,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,2,0,70.94357220000529,None,"['2', '3']",1,"[-0.04855859999952372, 0.04411149999941699]",70.94357220000529,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,B,['2'],2,TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,TMT_B,1,4,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,2,0,71.0707301000075,None,"['1', '2']",1,"[0.131544899995788, 0.24311689999012742]",71.0707301000075,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,3,['1'],1,TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,TMT_B,1,5,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,2,0,71.44926310000301,None,"['3', '1']",1,"[-0.09035860000585672, 0.11175539999385364]",71.44926310000301,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,C,['3'],3,TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,TMT_B,1,6,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,2,0,71.70470560000103,None,"['2', '3']",1,"[-0.06966459999966901, 0.011582300008740276]",71.70470560000103,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,4,['2'],2,TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,TMT_B,1,7,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,2,0,71.83695130000706,None,"['1', '2']",1,"[0.0632876000017859, 0.13167329999851063]",71.83695130000706,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,D,['1'],1,TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,TMT_B,1,8,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,2,0,72.09501340000133,None,"['3', '1']",1,"[-0.03067580000788439, 0.14917499999864958]",72.09501340000133,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,5,['3'],3,TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,TMT_B,1,9,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,2,0,72.42536940000718,None,"['2', '3']",1,"[-0.08526049999636598, -0.009497799997916445]",72.42536940000718,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,E,['1'],1,TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,TMT_B,1,10,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,1,1,72.55298340000445,None,['1'],1,[0.057597399994847365],72.55298340000445,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,6,['3'],3,TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,TMT_B,1,11,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,2,0,72.69474220000848,None,"['2', '3']",1,"[-0.01769609999610111, 0.07330489999731071]",72.69474220000848,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,F,['1'],1,TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,TMT_B,1,12,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,2,0,72.94781940001121,None,"['2', '1']",1,"[0.06565029999183025, 0.1491078999970341]",72.94781940001121,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,7,['3'],3,TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,TMT_B,1,13,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,1,1,73.2166353000066,None,['3'],1,[0.0769402000005357],73.2166353000066,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,G,['2'],2,TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,TMT_B,1,14,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,2,0,73.48123870001291,None,"['1', '2']",1,"[-0.0007528000132879242, 0.09304290000000037]",73.48123870001291,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,8,['3'],3,TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,TMT_B,1,15,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,1,1,73.74683620000724,None,['3'],1,[0.01150239999697078],73.74683620000724,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,H,['1'],1,TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,TMT_B,1,16,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,1,1,73.87211500000558,None,['1'],1,[0.04435860000376124],73.87211500000558,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
TMTstop-B_1_1.xlsx,0:26,9,['3'],3,TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,TMT_B,1,17,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,2,0,74.01358450000407,None,"['2', '3']",1,"[0.015453499989234842, 0.1097031999961473]",74.01358450000407,None,,001,2022_May_10_0948,TMT_fmri,2021.2.3,123.47462534130955,
