NumberLetter,corrAns,StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
13,2,TMTAD111.bmp,0,12,12,12,,,,,,,,,22.503252800001064,None,1,0,0.16962099997908808,22.503252800001064,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
14,3,TMTAD112.bmp,0,13,13,13,,,,,,,,,22.703372600022703,None,2,0,0.005098099994938821,22.703372600022703,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
15,1,TMTAD113.bmp,0,14,14,14,,,,,,,,,22.736775500001386,None,3,0,0.15786109998589382,22.736775500001386,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
16,2,TMTAD114.bmp,0,15,15,15,,,,,,,,,22.92018860002281,None,1,0,0.23363170001539402,22.92018860002281,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
17,3,TMTAD115.bmp,0,16,16,16,,,,,,,,,23.170264400017913,None,2,0,0.028008900000713766,23.170264400017913,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
18,2,TMTAD116.bmp,0,17,17,17,,,,,,,,,23.22030350001296,None,3,0,0.5735655000025872,23.22030350001296,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
19,3,TMTAD117.bmp,0,18,18,18,,,,,,,,,23.82064230000833,None,1,0,0.33759149999241345,23.82064230000833,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
20,1,TMTAD118.bmp,0,19,19,19,,,,,,,,,24.187460300017847,None,2,0,0.09925810000277124,24.187460300017847,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
21,2,TMTAD119.bmp,0,20,20,20,,,,,,,,,24.304203700012295,None,3,0,0.10727999999653548,24.304203700012295,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
22,3,TMTAD120.bmp,0,21,21,21,,,,,,,,,24.437511600001017,None,1,0,0.2017797000007704,24.437511600001017,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
23,1,TMTAD121.bmp,0,22,22,22,,,,,,,,,24.67101280001225,None,2,0,0.0422242000058759,24.67101280001225,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
24,2,TMTAD122.bmp,0,23,23,23,,,,,,,,,24.737695000017993,None,3,0,0.08025719999568537,24.737695000017993,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
None,None,TMTAD123.bmp,0,24,24,24,,,,,,,,,24.837759400019422,None,1,0,0.1939206999959424,24.837759400019422,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
,,,,,,,,,,,,,,,,,,,,,,25.054594400018686,None,2,0.037397900014184415,25.054594400018686,None,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
1,3,TMTBD1.bmp,,,,,0,0,0,0,25.12124930002028,None,25.12124930002028,None,25.254632200027118,None,1,0,1.4341907000052743,25.254632200027118,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
A,1,TMTBD1.bmp,,,,,0,1,1,1,,,,,26.70527690000017,None,2,0,0.19466500001726672,26.70527690000017,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
2,3,TMTBD11.bmp,,,,,0,2,2,2,,,,,27.25562650000211,None,3,1,0.3958849999762606,27.25562650000211,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
B,2,TMTBD1A.bmp,,,,,0,3,3,3,,,,,27.672636600007536,None,3,0,0.37902089999988675,27.672636600007536,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
3,1,TMTBD12.bmp,,,,,0,4,4,4,,,,,28.85627590000513,None,3,0,-0.39941120002185926,28.85627590000513,None,,,,,,,,,123r,001,2021_Oct_21_1538,TMTAB,2021.2.3,60.01954236157345,
