NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
H,['2'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,0,15,15,15,,,,,,,,,22.58350850001443,None,['2'],1,[-0.024887599982321262],22.58350850001443,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
9,['3'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,0,16,16,16,,,,,,,,,22.67332499998156,None,['3'],1,[-0.018651200109161437],22.67332499998156,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
I,['2'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,0,17,17,17,,,,,,,,,22.75761600001715,None,"['1', '2']",1,"[0.026229600072838366, 0.1404278000118211]",22.75761600001715,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
10,['1'],TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,None,0,18,18,18,,,,,,,,,23.013674600049853,None,"['3', '1']",1,"[-0.05241340002976358, 0.07889470004010946]",23.013674600049853,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
J,['2'],TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,None,0,19,19,19,,,,,,,,,23.17427229997702,None,"['3', '1', '2']",1,"[0.07958649995271116, 0.26154289999976754, 0.35250199993606657]",23.17427229997702,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
11,['3'],TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,None,0,20,20,20,,,,,,,,,23.611183600034565,None,"['1', '2', '3']",1,"[0.13480930007062852, 0.25469820003490895, 0.38798390002921224]",23.611183600034565,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
K,['1'],TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,None,0,21,21,21,,,,,,,,,24.110949099995196,None,['1'],1,[0.027385000023059547],24.110949099995196,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
12,['3'],TMTstop-B_1_1linestimulus20.png,TMTstop-B_1_1greenlinestimulus20.png,TMTstop-B_1_1redlinestimulus20.png,None,0,22,22,22,,,,,,,,,24.215102900052443,None,"['2', '3']",1,"[0.012145599932409823, 0.1517139000352472]",24.215102900052443,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
L,['1'],TMTstop-B_1_1linestimulus21.png,TMTstop-B_1_1greenlinestimulus21.png,TMTstop-B_1_1redlinestimulus21.png,None,0,23,23,23,,,,,,,,,24.479460300062783,None,['1'],1,[0.030613299924880266],24.479460300062783,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
13,['2'],TMTstop-B_1_1linestimulus22.png,TMTstop-B_1_1greenlinestimulus22.png,TMTstop-B_1_1redlinestimulus22.png,None,0,24,24,24,,,,,,,,,24.597183000063524,None,['2'],1,[0.03040689998306334],24.597183000063524,None,,,,001,2021_Nov_03_1612,TMTAB,2021.2.3,144.6715304898212,
