NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,7.2103611000002275,None,7.2103611000002275,None,8.594322699998884,None,2,1,2.627187699999922,8.594322699998884,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,11.295611800000188,None,3,1,0.9229732000003423,11.295611800000188,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,12.295976899999005,None,1,1,2.6247720000010304,12.295976899999005,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,15.013944000000265,None,3,0,1.685473199999251,15.013944000000265,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,16.798087699999087,None,1,0,1.5290858999997,16.798087699999087,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,18.415474899999026,None,2,1,0.8598246999990806,18.415474899999026,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,19.349387899999783,None,1,1,1.1481006999983947,19.349387899999783,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,20.566426299999875,None,3,1,1.0165025000005699,20.566426299999875,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,21.667094700000234,None,1,1,1.0093909999995958,21.667094700000234,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,22.76746920000005,None,2,1,0.7956195999995543,22.76746920000005,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
6,1,TMT-control_linestimulus8.png,TMT-control_greenlinestimulus8.png,TMT-control_redlinestimulus8.png,0,10,10,10,,,,,,,,,23.651274199999534,None,1,1,0.8284530000000814,23.651274199999534,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,24.551557099999627,None,2,1,0.963716199999908,24.551557099999627,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
1,3,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,0,0,0,,,,,25.585383899999215,None,3,1,5.808954599999197,25.585383899999215,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
A,1,TMT-control2.jpg,TMT-control2.jpg,TMT-control2.jpg,,,,,0,1,1,1,,,,,31.471527899999273,None,1,1,1.2446301999989373,31.471527899999273,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
2,3,TMT-control2_linestimulus0.png,TMT-control2_greenlinestimulus0.png,TMT-control2_redlinestimulus0.png,,,,,0,2,2,2,,,,,32.78872000000047,None,2,0,1.9935375999993994,32.78872000000047,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
B,1,TMT-control2_linestimulus1.png,TMT-control2_greenlinestimulus1.png,TMT-control2_redlinestimulus1.png,,,,,0,3,3,3,,,,,34.8732258,None,2,0,1.5480196000007709,34.8732258,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
3,2,TMT-control2_linestimulus2.png,TMT-control2_greenlinestimulus2.png,TMT-control2_redlinestimulus2.png,,,,,0,4,4,4,,,,,36.49046389999967,None,3,0,0.6014097999996011,36.49046389999967,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
C,3,TMT-control2_linestimulus3.png,TMT-control2_greenlinestimulus3.png,TMT-control2_redlinestimulus3.png,,,,,0,5,5,5,,,,,37.174160000000484,None,2,0,0.5127363999999943,37.174160000000484,None,,,,,,,,001,2021_Oct_21_1925,TMTAB,2021.2.3,59.979690876296424,
