NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,15.345069999922998,None,1,0.21344889991451055,15.345069999922998,None,,,,,,,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.49179819994606,None,2,0.6905884000007063,16.49179819994606,None,,,,,,,,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,17.27544139989186,None,,,,,,,,,,,,,20.330147399916314,None,['2'],1,[0.6791450999444351],20.330147399916314,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,21.097625999944285,None,['1'],1,[0.14374299999326468],21.097625999944285,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,21.33156739990227,None,"['3', '1', '2']",1,"[-0.006148900021798909, 0.21331409993581474, 0.29609109996818006]",21.33156739990227,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,21.714606099994853,None,['3'],1,[0.02055859996471554],21.714606099994853,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,21.831377299968153,None,"['1', '2']",1,"[0.0714681000681594, 0.16350050002802163]",21.831377299968153,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,22.09861169999931,None,['3'],1,[-0.01648460002616048],22.09861169999931,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,22.18157389992848,None,"['1', '2']",1,"[0.0530062000034377, 0.13882509991526604]",22.18157389992848,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,22.431615499895997,None,"['3', '1']",1,"[-0.0030439000111073256, 0.15727969992440194]",22.431615499895997,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,22.715102099929936,None,['2'],1,[-0.05896260007284582],22.715102099929936,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,22.79850739997346,None,"['3', '1']",1,"[-0.04424369998741895, 0.13391900004353374]",22.79850739997346,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,23.031987299909815,None,['2'],1,[-0.026493399986065924],23.031987299909815,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,23.115314799943008,None,['3'],1,[-0.0136438999325037],23.115314799943008,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,23.19860149989836,None,"['1', '2']",1,"[0.08376379997935146, 0.17103189998306334]",23.19860149989836,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,23.465359999914654,None,['3'],1,[-0.0016490000998601317],23.465359999914654,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,23.54896749998443,None,['1'],1,[0.0769569999538362],23.54896749998443,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,23.715521099977195,None,"['2', '3']",1,"[-0.017550599994137883, 0.11163409997243434]",23.715521099977195,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,23.949039299972355,None,"['1', '2']",1,"[0.04421399999409914, 0.1219398999819532]",23.949039299972355,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,24.184493899927475,None,['3'],1,[-0.01312860008329153],24.184493899927475,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
19,['1'],TMTstop-A_1_1linestimulus16.png,TMTstop-A_1_1greenlinestimulus16.png,TMTstop-A_1_1redlinestimulus16.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,24.26583309995476,None,['1'],1,[0.05411680007819086],24.26583309995476,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
20,['3'],TMTstop-A_1_1linestimulus17.png,TMTstop-A_1_1greenlinestimulus17.png,TMTstop-A_1_1redlinestimulus17.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,24.41581179993227,None,"['2', '3']",1,"[-0.008509900071658194, 0.07849099999293685]",24.41581179993227,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
21,['1'],TMTstop-A_1_1linestimulus18.png,TMTstop-A_1_1greenlinestimulus18.png,TMTstop-A_1_1redlinestimulus18.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,24.59936139988713,None,['1'],1,[0.07429609994869679],24.59936139988713,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
22,['3'],TMTstop-A_1_1linestimulus19.png,TMTstop-A_1_1greenlinestimulus19.png,TMTstop-A_1_1redlinestimulus19.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,24.76648899994325,None,"['2', '3']",1,"[-0.0032921999227255583, 0.1040888000279665]",24.76648899994325,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
23,['1'],TMTstop-A_1_1linestimulus20.png,TMTstop-A_1_1greenlinestimulus20.png,TMTstop-A_1_1redlinestimulus20.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,25.000347499968484,None,['1'],1,[0.03603720001410693],25.000347499968484,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
24,['2'],TMTstop-A_1_1linestimulus21.png,TMTstop-A_1_1greenlinestimulus21.png,TMTstop-A_1_1redlinestimulus21.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,25.13295699993614,None,['2'],1,[-0.03470530000049621],25.13295699993614,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
25,['3'],TMTstop-A_1_1linestimulus22.png,TMTstop-A_1_1greenlinestimulus22.png,TMTstop-A_1_1redlinestimulus22.png,None,TMTstop-A_1_1.xlsx,0:26,,,,,,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,25.21835209999699,None,['3'],1,[-0.019022700027562678],25.21835209999699,None,,001,2022_Jan_24_1135,TMTAstop-A,2021.2.3,60.027108224871476,
