Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Block_file,Condition_rows,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,s,1.0268848999985494,22.66413990000001,None,,,,001,2022_Nov_17_1337,TMT_fmri,2021.2.3,143.612338601689,
,,,,,,,,,,22.66413990000001,None,,,,,,,
