Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,s,5.230012500003795,88.83229130000109,None,,,,001,2022_May_10_0926,TMT_fmri,2021.2.3,122.02145625395217,
,,,,,,,,,,,,88.83229130000109,None,,,,,,,
