NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1.0,12.808165550231934,12.808165550231934,0.0,,1.0,1.0,0.0,2,2.0049128999962704,12.808165550231934,12.808165550231934,0.0,,0.0
2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,1.0,14.884760856628418,14.884760856628418,0.0,,1.0,1.0,0.0,3,1,0.436950599992997,2.0201146000035806,14.884760856628418,14.884760856628418,0.0,,1.0
3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,1.0,17.00249671936035,17.00249671936035,0.0,,1.0,1.0,0.0,3,0.6952503000065917,17.00249671936035,17.00249671936035,0.0,,2.0
4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,1.0,17.78072738647461,17.78072738647461,0.0,,1.0,1.0,0.0,1,0.34661659999983385,17.78072738647461,17.78072738647461,0.0,,3.0
5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,1.0,18.203866958618164,18.203866958618164,0.0,,1.0,1.0,0.0,3,0.29987629999232013,18.203866958618164,18.203866958618164,0.0,,4.0
6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,1.0,18.578838348388672,18.578838348388672,0.0,,1.0,1.0,0.0,1,0.2559103999956278,18.578838348388672,18.578838348388672,0.0,,5.0
7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,1.0,18.91232681274414,18.91232681274414,0.0,,1.0,1.0,0.0,2,0.5441398999973899,18.91232681274414,18.91232681274414,0.0,,6.0
8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,1.0,19.537288665771484,19.537288665771484,0.0,,1.0,1.0,0.0,3,1,0.3655977000016719,0.6374357000022428,19.537288665771484,19.537288665771484,0.0,,7.0
9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,1.0,20.27342987060547,20.27342987060547,0.0,,1.0,1.0,0.0,2,3,0.010572600003797561,0.09583190000557806,20.27342987060547,20.27342987060547,0.0,,8.0
10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,1.0,20.4475040435791,20.4475040435791,0.0,,1.0,1.0,0.0,1,2,0.037907399993855506,0.11114689998794347,20.4475040435791,20.4475040435791,0.0,,9.0
11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,1.0,20.641780853271484,20.641780853271484,0.0,,1.0,1.0,0.0,3,1,-0.0004741000011563301,0.11855559999821708,20.641780853271484,20.641780853271484,0.0,,10.0
12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,1.0,20.842777252197266,20.842777252197266,0.0,,1.0,1.0,0.0,2,-0.04456719999143388,20.842777252197266,20.842777252197266,0.0,,11.0
13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,1.0,20.925996780395508,20.925996780395508,0.0,,1.0,1.0,0.0,3,-0.03152780000527855,20.925996780395508,20.925996780395508,0.0,,12.0
14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,1.0,21.003189086914062,21.003189086914062,0.0,,1.0,1.0,0.0,1,2,0.0009662000084063038,0.05120360000000801,21.003189086914062,21.003189086914062,0.0,,13.0
15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,1.0,21.162553787231445,21.162553787231445,0.0,,1.0,1.0,0.0,3,-0.03553439999814145,21.162553787231445,21.162553787231445,0.0,,14.0
16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,1.0,21.27420425415039,21.27420425415039,0.0,,1.0,1.0,0.0,1,2,-0.030355900002177805,0.0011101999989477918,21.27420425415039,21.27420425415039,0.0,,15.0
17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,1.0,21.350177764892578,21.350177764892578,0.0,,1.0,1.0,0.0,3,0.016807599997264333,21.350177764892578,21.350177764892578,0.0,,16.0
18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,1.0,21.454256057739258,21.454256057739258,0.0,,1.0,1.0,0.0,1,2,0.03810649999650195,0.09151399999973364,21.454256057739258,21.454256057739258,0.0,,17.0
19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,1.0,21.641590118408203,21.641590118408203,0.0,,1.0,1.0,0.0,3,1,-0.0032543999986955896,0.11584610000136308,21.641590118408203,21.641590118408203,0.0,,18.0
20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,1.0,21.842952728271484,21.842952728271484,0.0,,1.0,1.0,0.0,2,3,-0.0234403999929782,0.05912610000814311,21.842952728271484,21.842952728271484,0.0,,19.0
21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,1.0,21.99571990966797,21.99571990966797,0.0,,1.0,1.0,0.0,1,0.02190709998831153,21.99571990966797,21.99571990966797,0.0,,20.0
22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,1.0,22.092710494995117,22.092710494995117,0.0,,1.0,1.0,0.0,2,-0.011253100004978478,22.092710494995117,22.092710494995117,0.0,,21.0
23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,1.0,22.168994903564453,22.168994903564453,0.0,,1.0,1.0,0.0,3,-0.014777699994738214,22.168994903564453,22.168994903564453,0.0,,22.0
24,['2'],2,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,TMT_Control,1,24,1.0,22.2454833984375,22.2454833984375,0.0,,1.0,1.0,0.0,1,2,0.03435479999461677,0.0751285000005737,22.2454833984375,22.2454833984375,0.0,,23.0
25,['1'],1,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,TMT_Control,1,25,1.0,22.405399322509766,22.405399322509766,0.0,,1.0,1.0,0.0,3,1,0.0019745999888982624,0.11278399999719113,22.405399322509766,22.405399322509766,0.0,,24.0
None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,TMT_Control,1,Feedback_last,1.0,22.620651245117188,22.620651245117188,0.0,,0.0,0.0,0.0,2,3,-0.04539610000210814,0.04773360000399407,22.620651245117188,22.620651245117188,0.0,,25.0

extraInfo
participant,
session,001
date,2022_Mar_30_1524
expName,TMT_fmri
psychopyVersion,2021.2.3
frameRate,143.55976535962884
﻿NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMT_Control,2,26,1.0,26.76592445373535,26.76592445373535,0.0,,1.0,1.0,0.0,2,0.6088693000056082,26.76592445373535,26.76592445373535,0.0,,0.0
2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,TMT_Control,2,27,1.0,27.446916580200195,27.446916580200195,0.0,,1.0,1.0,0.0,3,0.27643269998952746,27.446916580200195,27.446916580200195,0.0,,1.0
3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,TMT_Control,2,28,1.0,27.794139862060547,27.794139862060547,0.0,,0.0,0.0,0.0,,'--',27.794139862060547,27.794139862060547,0.0,,2.0
4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,TMT_Control,2,29,0.0,,,,'--',,,,'--','--',,,,'--',
5,['2'],2,TMTstop-control_1_2linestimulus2.png,TMTstop-control_1_2greenlinestimulus2.png,TMTstop-control_1_2redlinestimulus2.png,TMT_Control,2,30,0.0,,,,'--',,,,'--','--',,,,'--',
6,['3'],3,TMTstop-control_1_2linestimulus3.png,TMTstop-control_1_2greenlinestimulus3.png,TMTstop-control_1_2redlinestimulus3.png,TMT_Control,2,31,0.0,,,,'--',,,,'--','--',,,,'--',
7,['2'],2,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus4.png,TMTstop-control_1_2redlinestimulus4.png,TMT_Control,2,32,0.0,,,,'--',,,,'--','--',,,,'--',
8,['1'],1,TMTstop-control_1_2linestimulus4.png,TMTstop-control_1_2greenlinestimulus5.png,TMTstop-control_1_2redlinestimulus5.png,TMT_Control,2,33,0.0,,,,'--',,,,'--','--',,,,'--',
9,['3'],3,TMTstop-control_1_2linestimulus6.png,TMTstop-control_1_2greenlinestimulus6.png,TMTstop-control_1_2redlinestimulus6.png,TMT_Control,2,34,0.0,,,,'--',,,,'--','--',,,,'--',
10,['2'],2,TMTstop-control_1_2linestimulus7.png,TMTstop-control_1_2greenlinestimulus7.png,TMTstop-control_1_2redlinestimulus7.png,TMT_Control,2,35,0.0,,,,'--',,,,'--','--',,,,'--',
11,['3'],3,TMTstop-control_1_2linestimulus8.png,TMTstop-control_1_2greenlinestimulus8.png,TMTstop-control_1_2redlinestimulus8.png,TMT_Control,2,36,0.0,,,,'--',,,,'--','--',,,,'--',
12,['2'],2,TMTstop-control_1_2linestimulus9.png,TMTstop-control_1_2greenlinestimulus9.png,TMTstop-control_1_2redlinestimulus9.png,TMT_Control,2,37,0.0,,,,'--',,,,'--','--',,,,'--',
13,['3'],3,TMTstop-control_1_2linestimulus10.png,TMTstop-control_1_2greenlinestimulus10.png,TMTstop-control_1_2redlinestimulus10.png,TMT_Control,2,38,0.0,,,,'--',,,,'--','--',,,,'--',
14,['2'],2,TMTstop-control_1_2linestimulus11.png,TMTstop-control_1_2greenlinestimulus11.png,TMTstop-control_1_2redlinestimulus11.png,TMT_Control,2,39,0.0,,,,'--',,,,'--','--',,,,'--',
15,['3'],3,TMTstop-control_1_2linestimulus12.png,TMTstop-control_1_2greenlinestimulus12.png,TMTstop-control_1_2redlinestimulus12.png,TMT_Control,2,40,0.0,,,,'--',,,,'--','--',,,,'--',
16,['1'],1,TMTstop-control_1_2linestimulus13.png,TMTstop-control_1_2greenlinestimulus13.png,TMTstop-control_1_2redlinestimulus13.png,TMT_Control,2,41,0.0,,,,'--',,,,'--','--',,,,'--',
