NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,6.340081599992118,None,6.77105459998711,None,2,0.43497289999504574,6.77105459998711,None,,,,,,,,,,001,2021_Nov_17_1654,TMTAB,2021.2.3,143.15429027891156,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,7.223326699997415,None,10.272324099991238,None,1,1.2663401999889174,10.272324099991238,None,,001,2021_Nov_17_1654,TMTAB,2021.2.3,143.15429027891156,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,11.63452409999445,None,2,1.4173002000025008,11.63452409999445,None,,001,2021_Nov_17_1654,TMTAB,2021.2.3,143.15429027891156,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,13.133322599998792,None,3,4.148564899995108,13.133322599998792,None,,001,2021_Nov_17_1654,TMTAB,2021.2.3,143.15429027891156,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,17.390415099987877,None,1,0.9936330000055023,17.390415099987877,None,,001,2021_Nov_17_1654,TMTAB,2021.2.3,143.15429027891156,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,18.530287399989902,None,2,1.2539286999963224,18.530287399989902,None,,001,2021_Nov_17_1654,TMTAB,2021.2.3,143.15429027891156,
