NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT-Control,1,1,1.0,12.88886547088623,12.88886547088623,0.0,,1.0,1.0,0.0,2,0.561692199902609,12.88886547088623,12.88886547088623,0.0,,0.0
2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT-Control,1,2,1.0,13.541193962097168,13.541193962097168,0.0,,1.0,1.0,0.0,3,1,0.20042099989950657,0.3730010997969657,13.541193962097168,13.541193962097168,0.0,,1.0
3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT-Control,1,3,1.0,14.019381523132324,14.019381523132324,0.0,,1.0,1.0,0.0,2,-0.060791099909693,14.019381523132324,14.019381523132324,0.0,,2.0
4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT-Control,1,4,1.0,14.089122772216797,14.089122772216797,0.0,,1.0,1.0,0.0,3,0.001851400127634406,14.089122772216797,14.089122772216797,0.0,,3.0
5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT-Control,1,5,1.0,14.183324813842773,14.183324813842773,0.0,,1.0,1.0,0.0,1,2,0.04882939998060465,0.12296609999611974,14.183324813842773,14.183324813842773,0.0,,4.0
6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT-Control,1,6,1.0,14.394536018371582,14.394536018371582,0.0,,1.0,1.0,0.0,3,1,-0.007550799986347556,0.1308067999780178,14.394536018371582,14.394536018371582,0.0,,5.0
7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT-Control,1,7,1.0,14.64111042022705,14.64111042022705,0.0,,1.0,1.0,0.0,2,3,-0.03760589985176921,0.057368700159713626,14.64111042022705,14.64111042022705,0.0,,6.0
8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT-Control,1,8,1.0,14.798026084899902,14.798026084899902,0.0,,1.0,1.0,0.0,1,2,0.06692879996262491,0.1291197999380529,14.798026084899902,14.798026084899902,0.0,,7.0
9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT-Control,1,9,1.0,15.021235466003418,15.021235466003418,0.0,,1.0,1.0,0.0,3,0.004019899992272258,15.021235466003418,15.021235466003418,0.0,,8.0
10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT-Control,1,10,1.0,15.1033935546875,15.1033935546875,0.0,,1.0,1.0,0.0,1,2,0.07443910022266209,0.12764489999972284,15.1033935546875,15.1033935546875,0.0,,9.0
11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT-Control,1,11,1.0,15.345693588256836,15.345693588256836,0.0,,1.0,1.0,0.0,3,-0.017943000188097358,15.345693588256836,15.345693588256836,0.0,,10.0
12,['1'],1,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT-Control,1,12,1.0,15.41519832611084,15.41519832611084,0.0,,1.0,1.0,0.0,1,0.05313549982383847,15.41519832611084,15.41519832611084,0.0,,11.0
13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT-Control,1,13,1.0,15.548432350158691,15.548432350158691,0.0,,1.0,1.0,0.0,2,3,0.013700600014999509,0.06063419999554753,15.548432350158691,15.548432350158691,0.0,,12.0
