NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,0,4,4,4,,,,,,,,,,,,,24.90762850000465,None,"['1', '2']",1,"[0.1288734000045224, 0.2670492000033846]",24.90762850000465,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,0,5,5,5,,,,,,,,,,,,,25.268563000005088,None,['3'],1,[0.008577799999329727],25.268563000005088,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,0,6,6,6,,,,,,,,,,,,,25.35180990000663,None,"['1', '2']",1,"[0.09008069999981672, 0.1733165999976336]",25.35180990000663,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,0,7,7,7,,,,,,,,,,,,,25.595147600004566,None,"['3', '1']",1,"[0.04609320000599837, 0.18131300000095507]",25.595147600004566,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,0,8,8,8,,,,,,,,,,,,,25.880260300000373,None,['2'],1,[-0.026005799998529255],25.880260300000373,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,0,9,9,9,,,,,,,,,,,,,25.962571200005186,None,"['3', '1']",1,"[0.008847199998854194, 0.13198649999685585]",25.962571200005186,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,0,10,10,10,,,,,,,,,,,,,26.164241900005436,None,['2'],1,[0.04024029999709455],26.164241900005436,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,0,11,11,11,,,,,,,,,,,,,26.27544610000041,None,['3'],1,[0.04183069999999134],26.27544610000041,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,0,12,12,12,,,,,,,,,,,,,26.386557300000277,None,"['1', '2']",1,"[0.0905683000019053, 0.16044110000075307]",26.386557300000277,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,0,13,13,13,,,,,,,,,,,,,26.62961930000165,None,['3'],1,[0.038008600000466686],26.62961930000165,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,0,14,14,14,,,,,,,,,,,,,26.74081650000153,None,['1'],1,[0.059365599998272955],26.74081650000153,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,0,15,15,15,,,,,,,,,,,,,26.872629000004963,None,"['2', '3']",1,"[0.01912370000354713, 0.10150029999931576]",26.872629000004963,None,,001,2021_Nov_15_1319,TMTAB,2021.2.3,143.24410657842606,
