NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Block_file,Condition_rows,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,6.662927599973045,None,7.839681399986148,None,3,0.7807288999902084,7.839681399986148,None,,,,,,,,,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.638966700062156,None,11.74127270001918,None,1,1.030872300034389,11.74127270001918,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,12.892499700072221,None,2,0.0028698999667540193,12.892499700072221,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,12.99262070003897,None,3,0.006740699987858534,12.99262070003897,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,13.092453200020827,None,1,0.05943800008390099,13.092453200020827,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,13.242519799969159,None,2,0.2914606999838725,13.242519799969159,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,13.642904000007547,None,3,0.31175790005363524,13.642904000007547,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,14.059577899985015,None,1,0.046595799969509244,14.059577899985015,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,14.193030699971132,None,3,0.08541870000772178,14.193030699971132,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,14.376489700051025,None,2,0.110721500008367,14.376489700051025,None,,,,,,,,,,,,,,,001,2022_Jan_24_1136,TMTAstop-A,2021.2.3,59.92706873222702,
