NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Condition_rows,Correct,Block,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Condition_trials.thisRepN,Condition_trials.thisTrialN,Condition_trials.thisN,Condition_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,14.063828999875113,None,1,0.0960701999720186,14.063828999875113,None,,,,,,,,,,,,,,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,14.230484599946067,None,2,0.03319109999574721,14.230484599946067,None,,,,,,,,,,,,,,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,14.334670400014147,None,None,,14.334670400014147,None,,,,,,,,,,,,,,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.409379999851808,None,2,0.6565307998098433,15.409379999851808,None,,,,,,,,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,16.130802299827337,None,,,,,,,,,,,,,19.14679679996334,None,"['1', '2']",1,"[0.6179081001318991, 0.7961926001589745]",19.14679679996334,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,20.03566910000518,None,"['3', '1']",1,"[0.04314770014025271, 0.2990925000049174]",20.03566910000518,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,20.43860309990123,None,['2'],1,[0.001617700094357133],20.43860309990123,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,20.521930600050837,None,['3'],1,[0.020083699841052294],20.521930600050837,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,20.619368999963626,None,"['1', '2']",1,"[0.14224290009588003, 0.2148221000097692]",20.619368999963626,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,,0:26,3,1,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,20.924740300048143,None,['3'],1,[0.04367889999412],20.924740300048143,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,21.049828300019726,None,"['1', '2']",1,"[0.3286456000059843, 0.4309305001515895]",21.049828300019726,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,21.57754379999824,None,"['3', '1']",1,"[-0.006397299934178591, 0.1669132001698017]",21.57754379999824,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,21.82061819988303,None,['2'],1,[-0.017773800063878298],21.82061819988303,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,,0:26,1,1,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,21.903507699957117,None,"['3', '1']",1,"[0.014842099975794554, 0.3968911000993103]",21.903507699957117,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,,0:26,2,1,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,22.383519199909642,None,['2'],1,[0.030732099898159504],22.383519199909642,None,,001,2022_Jan_12_1715,TMTAstop-A,2021.2.3,142.5504561098374,
