Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT-Control,1,1,0,0,0,0,0,0,0,0,1,1,12.888865000102669,None,['2'],1,[0.561692199902609],12.888865000102669,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT-Control,1,2,0,0,0,0,0,1,1,1,2,0,13.541194300167263,None,"['3', '1']",1,"[0.20042099989950657, 0.3730010997969657]",13.541194300167263,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT-Control,1,3,0,0,0,0,0,2,2,2,1,1,14.01938180020079,None,['2'],1,[-0.060791099909693],14.01938180020079,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT-Control,1,4,0,0,0,0,0,3,3,3,1,1,14.08912320015952,None,['3'],1,[0.001851400127634406],14.08912320015952,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT-Control,1,5,0,0,0,0,0,4,4,4,2,0,14.183324499987066,None,"['1', '2']",1,"[0.04882939998060465, 0.12296609999611974]",14.183324499987066,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT-Control,1,6,0,0,0,0,0,5,5,5,2,0,14.394536199979484,None,"['3', '1']",1,"[-0.007550799986347556, 0.1308067999780178]",14.394536199979484,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT-Control,1,7,0,0,0,0,0,6,6,6,2,0,14.641110100084916,None,"['2', '3']",1,"[-0.03760589985176921, 0.057368700159713626]",14.641110100084916,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT-Control,1,8,0,0,0,0,0,7,7,7,2,0,14.798026200151071,None,"['1', '2']",1,"[0.06692879996262491, 0.1291197999380529]",14.798026200151071,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT-Control,1,9,0,0,0,0,0,8,8,8,1,1,15.0212350001093,None,['3'],1,[0.004019899992272258],15.0212350001093,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT-Control,1,10,0,0,0,0,0,9,9,9,2,0,15.103393100202084,None,"['1', '2']",1,"[0.07443910022266209, 0.12764489999972284]",15.103393100202084,None,,001,2022_Feb_02_1742,TMT_fmri,2021.2.3,None,
