NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,6.110331199946813,None,6.110331199946813,None,6.637894899933599,None,['2'],1,[0.512010500067845],6.637894899933599,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,7.228058399981819,None,['1'],1,[1.3393440999789163],7.228058399981819,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,8.644715399947017,None,['3'],1,[1.685174599988386],8.644715399947017,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,10.415266099967994,None,['2'],1,[7.800776500022039],10.415266099967994,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,18.297196100000292,None,['2'],0,[1.995363299967721],18.297196100000292,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,20.366815199959092,None,['2'],1,[1.1721715000458062],20.366815199959092,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,21.623867299989797,None,['2'],0,[0.8741806999314576],21.623867299989797,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,22.574935799930245,None,['2'],1,[0.9949990999884903],22.574935799930245,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,23.658299999893643,None,['2'],0,[0.7693016999401152],23.658299999893643,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,24.505547899985686,None,['2'],0,[0.641491899965331],24.505547899985686,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,25.227829099982046,None,['2'],0,[0.43236720003187656],25.227829099982046,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,25.74847479991149,None,['2'],1,[0.4003119000699371],25.74847479991149,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,26.22779139992781,None,['2'],0,[0.4173224000260234],26.22779139992781,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
G,['3'],TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,None,0,13,13,13,,,,,26.728825900005177,None,['2'],0,[0.4062065000180155],26.728825900005177,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
8,['1'],TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,None,0,14,14,14,,,,,27.213569299899973,None,['2'],0,[0.3665981999365613],27.213569299899973,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
H,['2'],TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,None,0,15,15,15,,,,,27.66518399992492,None,['2'],1,[0.6189547000685707],27.66518399992492,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
9,['3'],TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,None,0,16,16,16,,,,,28.37360109994188,None,['2'],0,[0.7223933000350371],28.37360109994188,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
I,['2'],TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,None,0,17,17,17,,,,,29.186535499989986,None,['2'],1,[1.119927000021562],29.186535499989986,None,,,,,,001,2021_Nov_03_1450,TMTAB,2021.2.3,144.56006045961755,
