Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,text_2.started,text_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,2.088590200059116,10.708166200201958,None,,,,,,,,,,,,,,,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,1,['2'],2,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,10.708166200201958,None,26.330904100090265,None,2,0,8.5238282000646,33.68821520032361,None,"['1', '2']",1,"[0.982377499807626, 1.1161035997793078]",33.68821520032361,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,2,['1'],1,Images/TMTstop-control_1_1.png,Images/TMTstop-control_1_1firstgreen.png,Images/TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,2,0,8.780978300143033,34.89523570006713,None,"['3', '1']",1,"[-0.012531100306659937, 0.16346359997987747]",34.89523570006713,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,3,['3'],3,Images/TMTstop-control_1_1linestimulus0.png,Images/TMTstop-control_1_1greenlinestimulus0.png,Images/TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,2,0,8.880847699940205,35.14502770034596,None,"['2', '3']",1,"[-0.03203570004552603, 0.050204300321638584]",35.14502770034596,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,4,['1'],1,Images/TMTstop-control_1_1linestimulus1.png,Images/TMTstop-control_1_1greenlinestimulus1.png,Images/TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,3,0,9.36185280000791,35.24583230027929,None,"['2', '3', '1']",1,"[0.11509430035948753, 0.24337820010259748, 0.4071035999804735]",35.24583230027929,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,5,['3'],3,Images/TMTstop-control_1_1linestimulus2.png,Images/TMTstop-control_1_1greenlinestimulus2.png,Images/TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2,0,9.55894220015034,35.742557200137526,None,"['2', '3']",1,"[-0.012120999861508608, 0.07001330005005002]",35.742557200137526,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,6,['1'],1,Images/TMTstop-control_1_1linestimulus3.png,Images/TMTstop-control_1_1greenlinestimulus3.png,Images/TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,1,1,9.647883899975568,35.927512700203806,None,['1'],1,[0.02291129995137453],35.927512700203806,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,7,['2'],2,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus4.png,Images/TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,1,1,9.704905800055712,36.01883580023423,None,['2'],1,[-0.0022770999930799007],36.01883580023423,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,8,['1'],1,Images/TMTstop-control_1_1linestimulus4.png,Images/TMTstop-control_1_1greenlinestimulus5.png,Images/TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,2,0,9.923855300061405,36.085190600249916,None,"['3', '1']",1,"[-0.003829600289463997, 0.14555040001869202]",36.085190600249916,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,9,['3'],3,Images/TMTstop-control_1_1linestimulus6.png,Images/TMTstop-control_1_1greenlinestimulus6.png,Images/TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,2,0,10.078851900063455,36.28901239996776,None,"['2', '3']",1,"[-0.011395300272852182, 0.0715393996797502]",36.28901239996776,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,10,['2'],2,Images/TMTstop-control_1_1linestimulus7.png,Images/TMTstop-control_1_1greenlinestimulus7.png,Images/TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,2,0,10.264811399858445,36.44507740018889,None,"['1', '2']",1,"[0.0785992001183331, 0.11759709985926747]",36.44507740018889,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,11,['1'],1,Images/TMTstop-control_1_1linestimulus8.png,Images/TMTstop-control_1_1greenlinestimulus8.png,Images/TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,2,0,10.493852000217885,36.62902670027688,None,"['3', '1']",1,"[0.014659400098025799, 0.17385210003703833]",36.62902670027688,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,12,['2'],2,Images/TMTstop-control_1_1linestimulus9.png,Images/TMTstop-control_1_1greenlinestimulus9.png,Images/TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,1,1,10.543810700066388,36.85820210026577,None,['2'],1,[-0.012440099846571684],36.85820210026577,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,13,['3'],3,Images/TMTstop-control_1_1linestimulus10.png,Images/TMTstop-control_1_1greenlinestimulus10.png,Images/TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,1,1,10.64387089991942,36.90821300027892,None,['3'],1,[0.029025400057435036],36.90821300027892,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,14,['2'],2,Images/TMTstop-control_1_1linestimulus11.png,Images/TMTstop-control_1_1greenlinestimulus11.png,Images/TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,2,0,10.843859900254756,37.00836999993771,None,"['1', '2']",1,"[0.08707220014184713, 0.12751389993354678]",37.00836999993771,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
C1,0:26,15,['3'],3,Images/TMTstop-control_1_1linestimulus12.png,Images/TMTstop-control_1_1greenlinestimulus12.png,Images/TMTstop-control_1_1redlinestimulus12.png,TMT_Control,C1,15,None,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,1,1,10.926897500175983,37.208580600097775,None,['3'],1,[0.011506199836730957],37.208580600097775,None,,001,2022_Dec_12_1607,TMT_fmri,2021.2.3,59.92182596261079,
