NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,TrialNumber_total,n,Stim.started_mean,Stim.started_raw,Stim.started_std,Stim.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_raw,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
1,['3'],3,Images/TMTstop-B_1_4.png,Images/TMTstop-B_1_4.png,Images/TMTstop-B_1_4.png,TMT_B,B4,76,8.0,8.0,676,1.0,554.1259765625,554.1259765625,0.0,,1.0,1.0,0.0,1,2,3,0.6732750000082888,0.7373662000172772,0.8222961000283249,554.1259765625,554.1259765625,0.0,,0.0
A,['2'],2,Images/TMTstop-B_1_4.png,Images/TMTstop-B_1_4firstgreen.png,Images/TMTstop-B_1_4firstred.png,TMT_B,B4,77,None,8.0,677,1.0,555.0059814453125,555.0059814453125,0.0,,1.0,1.0,0.0,1,2,0.1294626000453718,0.1705729000386782,555.0059814453125,555.0059814453125,0.0,,1.0
2,['1'],1,Images/TMTstop-B_1_4linestimulus0.png,Images/TMTstop-B_1_4greenlinestimulus0.png,Images/TMTstop-B_1_4redlinestimulus0.png,TMT_B,B4,78,None,8.0,678,1.0,555.2471923828125,555.2471923828125,0.0,,1.0,1.0,0.0,3,1,0.01320990000385791,0.2040944999898784,555.2471923828125,555.2471923828125,0.0,,2.0
B,['2'],2,Images/TMTstop-B_1_4linestimulus1.png,Images/TMTstop-B_1_4greenlinestimulus1.png,Images/TMTstop-B_1_4redlinestimulus1.png,TMT_B,B4,79,None,8.0,679,1.0,555.5379028320312,555.5379028320312,0.0,,1.0,1.0,0.0,2,1.4983678999706171,555.5379028320312,555.5379028320312,0.0,,3.0
3,['3'],3,Images/TMTstop-B_1_4linestimulus2.png,Images/TMTstop-B_1_4greenlinestimulus2.png,Images/TMTstop-B_1_4redlinestimulus2.png,TMT_B,B4,80,None,8.0,680,1.0,557.0975341796875,557.0975341796875,0.0,,1.0,1.0,0.0,3,1.8428242999943905,557.0975341796875,557.0975341796875,0.0,,4.0
C,['1'],1,Images/TMTstop-B_1_4linestimulus3.png,Images/TMTstop-B_1_4greenlinestimulus3.png,Images/TMTstop-B_1_4redlinestimulus3.png,TMT_B,B4,81,None,8.0,681,1.0,558.989501953125,558.989501953125,0.0,,1.0,1.0,0.0,1,0.9027000999776646,558.989501953125,558.989501953125,0.0,,5.0
4,['3'],3,Images/TMTstop-B_1_4linestimulus4.png,Images/TMTstop-B_1_4greenlinestimulus4.png,Images/TMTstop-B_1_4redlinestimulus4.png,TMT_B,B4,82,None,8.0,682,1.0,559.9492797851562,559.9492797851562,0.0,,1.0,1.0,0.0,3,0.48332889995072037,559.9492797851562,559.9492797851562,0.0,,6.0
D,['2'],2,Images/TMTstop-B_1_4linestimulus5.png,Images/TMTstop-B_1_4greenlinestimulus5.png,Images/TMTstop-B_1_4redlinestimulus5.png,TMT_B,B4,83,None,8.0,683,1.0,560.4906005859375,560.4906005859375,0.0,,1.0,1.0,0.0,2,0.6856868999893777,560.4906005859375,560.4906005859375,0.0,,7.0
5,['1'],1,Images/TMTstop-B_1_4linestimulus6.png,Images/TMTstop-B_1_4greenlinestimulus6.png,Images/TMTstop-B_1_4redlinestimulus6.png,TMT_B,B4,84,None,8.0,684,1.0,561.2330932617188,561.2330932617188,0.0,,1.0,1.0,0.0,1,0.6388460000162013,561.2330932617188,561.2330932617188,0.0,,8.0
E,['2'],2,Images/TMTstop-B_1_4linestimulus7.png,Images/TMTstop-B_1_4greenlinestimulus7.png,Images/TMTstop-B_1_4redlinestimulus7.png,TMT_B,B4,85,None,8.0,685,1.0,561.9412231445312,561.9412231445312,0.0,,1.0,1.0,0.0,2,0.6857587000122294,561.9412231445312,561.9412231445312,0.0,,9.0
6,['1'],1,Images/TMTstop-B_1_4linestimulus8.png,Images/TMTstop-B_1_4greenlinestimulus8.png,Images/TMTstop-B_1_4redlinestimulus8.png,TMT_B,B4,86,None,8.0,686,1.0,562.7003173828125,562.7003173828125,0.0,,1.0,1.0,0.0,1,1.8012902999762446,562.7003173828125,562.7003173828125,0.0,,10.0
F,['2'],2,Images/TMTstop-B_1_4linestimulus9.png,Images/TMTstop-B_1_4greenlinestimulus9.png,Images/TMTstop-B_1_4redlinestimulus9.png,TMT_B,B4,87,None,8.0,687,1.0,564.5601196289062,564.5601196289062,0.0,,1.0,1.0,0.0,2,1.3230809000087902,564.5601196289062,564.5601196289062,0.0,,11.0
