Block_file,Condition_rows,NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Blocks_loop.thisRepN,Blocks_loop.thisTrialN,Blocks_loop.thisN,Blocks_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_practice.keys,key_resp_practice.rt,key_resp_5.keys,key_resp_5.rt,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0.3949486000929028,,,,,,,,,,,,,,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,0,0,0,0,,,None,0.011793400160968304,2,1.0177495998796076,2,1,20.224269999889657,None,"['1', '2']",1,"[0.49319199984893203, 0.6631457998882979]",20.224269999889657,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,2,1,21.003061400027946,None,"['3', '1']",1,"[-0.05684129986912012, 0.10838190000504255]",21.003061400027946,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,1,1,21.19680879986845,None,['2'],1,[-0.01470810011960566],21.19680879986845,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,1,1,21.272961899871007,None,['3'],1,[-0.001089500030502677],21.272961899871007,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,2,1,21.34972079982981,None,"['1', '2']",1,"[0.07889920007437468, 0.12232450000010431]",21.34972079982981,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,1,1,21.550943600013852,None,['3'],1,[0.026717699831351638],21.550943600013852,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,2,1,21.655235799960792,None,"['1', '2']",1,"[0.05966260004788637, 0.12011380004696548]",21.655235799960792,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,2,1,21.88423700002022,None,"['3', '1']",1,"[0.0005491999909281731, 0.1263526000548154]",21.88423700002022,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,1,1,22.127111800014973,None,['2'],1,[-0.04558020015247166],22.127111800014973,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,2,1,22.203682099934667,None,"['3', '1']",1,"[-0.03533510002307594, 0.08909309981390834]",22.203682099934667,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,1,1,22.37097749998793,None,['2'],1,[-0.018148000119253993],22.37097749998793,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,1,1,22.448258499847725,None,['3'],1,[0.008018699940294027],22.448258499847725,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,2,1,22.537648499943316,None,"['1', '2']",1,"[0.06907409988343716, 0.13029609993100166]",22.537648499943316,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,1,1,22.773268999997526,None,['3'],1,[0.01670299982652068],22.773268999997526,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,1,1,22.87851949990727,None,['1'],1,[0.049087499966844916],22.87851949990727,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,2,1,23.009096499998122,None,"['2', '3']",1,"[-0.02072619996033609, 0.09144730004481971]",23.009096499998122,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,2,1,23.21748679992743,None,"['1', '2']",1,"[0.023379999911412597, 0.08743799990043044]",23.21748679992743,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
TMTstop-A_1_1.xlsx,0:26,18,['3'],TMTstop-A_1_1linestimulus15.png,TMTstop-A_1_1greenlinestimulus15.png,TMTstop-A_1_1redlinestimulus15.png,None,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,1,1,23.40813730005175,None,['3'],1,[0.013294300064444542],23.40813730005175,None,,001,2022_Feb_02_1221,TMTAstop-A,2021.2.3,148.29160660595073,
