Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_baseline2.thisRepN,Blocks_baseline2.thisTrialN,Blocks_baseline2.thisN,Blocks_baseline2.thisIndex,trials_baseline2.thisRepN,trials_baseline2.thisTrialN,trials_baseline2.thisN,trials_baseline2.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,38.366603100002976,61.08576630000607,None,"['1', '3', '2']",1,"[0.14378570000553736, 0.31157660000462784, 0.33297370000218507]",61.08576630000607,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,38.46263960000215,61.48662940000213,None,['1'],1,[0.05279330000485061],61.48662940000213,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,38.603403300003265,61.585097300005145,None,"['3', '2']",1,"[0.06345309999596793, 0.08721520000108285]",61.585097300005145,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,None,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,38.8006286000018,61.721313500005635,None,"['1', '3']",1,"[0.049762700000428595, 0.15634729999874253]",61.721313500005635,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,None,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,38.84166360000381,61.922149900005024,None,['2'],1,[-0.0324763000025996],61.922149900005024,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,None,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,39.032979300005536,61.96321810000518,None,"['1', '3']",1,"[0.03888569999980973, 0.13988209999661194]",61.96321810000518,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,None,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,39.07188590000442,62.153030900000886,None,['2'],1,[-0.01513390000036452],62.153030900000886,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,None,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,39.268400500004645,62.19486710000638,None,"['1', '3']",1,"[0.03764180000143824, 0.15507139999681385]",62.19486710000638,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,None,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,39.30663099999947,62.38724780000484,None,['2'],1,[-0.013346700005058665],62.38724780000484,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,None,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,39.414444699999876,62.4258359000014,None,['1'],1,[0.0659793999948306],62.4258359000014,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,None,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,39.53202109999984,62.54311410000082,None,['3'],1,[0.06976199999917299],62.54311410000082,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,None,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,39.69906869999977,62.65410160000465,None,"['2', '1']",1,"[0.011195999999472406, 0.10491109999566106]",62.65410160000465,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,None,1,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,39.832121200000984,62.82100619999983,None,"['3', '2']",1,"[0.052269300002080854, 0.07368020000285469]",62.82100619999983,None,,,,,,,,,001,2022_Nov_17_1338,TMT_fmri,2021.2.3,143.87661141982346,
