NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,,,,,24.42728070000885,None,['2'],0,[0.3668865000072401],24.42728070000885,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,,,,,24.93596649999381,None,['2'],0,[0.3626980999833904],24.93596649999381,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,,,,,25.392768299992895,None,['2'],0,[0.34608980000484735],25.392768299992895,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,,,,,25.830098899983568,None,['2'],0,[0.38511640002252534],25.830098899983568,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,,,,,26.30952239999897,None,['2'],0,[0.44964569999137893],26.30952239999897,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,,,,,26.878790399990976,None,['2'],0,[0.9009368999977596],26.878790399990976,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,,,,,27.871763300005114,None,['2'],0,[0.42794100000173785],27.871763300005114,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,,,,,28.41477939998731,None,['2'],0,[0.646904799999902],28.41477939998731,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,,,,,29.163203900010558,None,['2'],0,[0.47097260001464747],29.163203900010558,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,1,,,,,,,,,0,0,0,0,,,,,,,,,32.704777799983276,None,['2'],0,[1.007437399995979],32.704777799983276,None,29.647174199984875,None,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,A,,,,,,,,,0,1,1,1,,,,,,,,,33.825201300001936,None,['2'],0,[0.5406180999998469],33.825201300001936,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,2,,,,,,,,,0,2,2,2,,,,,,,,,34.447698000003584,None,['2'],0,[0.3818019999889657],34.447698000003584,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,B,,,,,,,,,0,3,3,3,,,,,,,,,34.92151089999243,None,['2'],0,[0.30241070000920445],34.92151089999243,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,3,,,,,,,,,0,4,4,4,,,,,,,,,35.33835119998548,None,['2'],0,[0.18817700000363402],35.33835119998548,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,C,,,,,,,,,0,5,5,5,,,,,,,,,35.62179579999065,None,['2'],0,[0.2178225000097882],35.62179579999065,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,4,,,,,,,,,0,6,6,6,,,,,,,,,35.92671689999406,None,['2'],0,[0.23716270001023076],35.92671689999406,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,D,,,,,,,,,0,7,7,7,,,,,,,,,36.25326820000191,None,['2'],0,[0.18630709999706596],36.25326820000191,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,5,,,,,,,,,0,8,8,8,,,,,,,,,36.53811319998931,None,['2'],0,[0.18916589999571443],36.53811319998931,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-B_1_2linestimulus7.png,TMT-B_1_2greenlinestimulus7.png,TMT-B_1_2redlinestimulus7.png,10,,E,,,,,,,,,0,9,9,9,,,,,,,,,36.84565139998449,None,['2'],0,[0.2042127000167966],36.84565139998449,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-B_1_2linestimulus8.png,TMT-B_1_2greenlinestimulus8.png,TMT-B_1_2redlinestimulus8.png,10,,6,,,,,,,,,0,10,10,10,,,,,,,,,37.156703999993624,None,['2'],0,[0.16522020002594218],37.156703999993624,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-B_1_2linestimulus9.png,TMT-B_1_2greenlinestimulus9.png,TMT-B_1_2redlinestimulus9.png,10,,F,,,,,,,,,0,11,11,11,,,,,,,,,37.399068700004136,None,['2'],0,[0.2668870000052266],37.399068700004136,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,None,None,TMT-B_1_2greenlinestimulus10.png,TMT-B_1_2redlinestimulus10.png,1,,None,,,,,,,,,0,12,12,12,,,,,,,,,37.762130599992815,None,['2'],0,[0.22806929997750558],37.762130599992815,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_2.png,TMT-BX_1_2.png,TMT-BX_1_2.png,,7,,,,,,,,,,,,,,0,0,0,0,,,,,41.08621270000003,None,['2'],0,[2.0458307999942917],41.08621270000003,None,38.00747300000512,None,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-BX_1_2.png,TMT-BX_1_2firstgreen.png,TMT-BX_1_2firstred.png,,G,,,,,,,,,,,,,,0,1,1,1,,,,,43.22530210000696,None,['2'],0,[0.28566049999790266],43.22530210000696,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-BX_1_2linestimulus0.png,TMT-BX_1_2greenlinestimulus0.png,TMT-BX_1_2redlinestimulus0.png,,8,,,,,,,,,,,,,,0,2,2,2,,,,,43.62947869999334,None,['2'],0,[0.14790650000213645],43.62947869999334,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-BX_1_2linestimulus1.png,TMT-BX_1_2greenlinestimulus1.png,TMT-BX_1_2redlinestimulus1.png,,H,,,,,,,,,,,,,,0,3,3,3,,,,,43.87157570000272,None,['2'],0,[0.2769100999867078],43.87157570000272,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_2linestimulus2.png,TMT-BX_1_2greenlinestimulus2.png,TMT-BX_1_2redlinestimulus2.png,,9,,,,,,,,,,,,,,0,4,4,4,,,,,44.25562899999204,None,['2'],0,[0.5577359999879263],44.25562899999204,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,1,TMT-BX_1_2linestimulus3.png,TMT-BX_1_2greenlinestimulus3.png,TMT-BX_1_2redlinestimulus3.png,,I,,,,,,,,,,,,,,0,5,5,5,,,,,44.91438269999344,None,['3'],0,[1.2018698000174481],44.91438269999344,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-BX_1_2linestimulus4.png,TMT-BX_1_2greenlinestimulus4.png,TMT-BX_1_2redlinestimulus4.png,,10,,,,,,,,,,,,,,0,6,6,6,,,,,46.20426279999083,None,['1'],0,[0.8778935000009369],46.20426279999083,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_2linestimulus5.png,TMT-BX_1_2greenlinestimulus5.png,TMT-BX_1_2redlinestimulus5.png,,J,,,,,,,,,,,,,,0,7,7,7,,,,,47.19872190000024,None,['1'],0,[0.5051743000221904],47.19872190000024,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-BX_1_2linestimulus6.png,TMT-BX_1_2greenlinestimulus6.png,TMT-BX_1_2redlinestimulus6.png,,11,,,,,,,,,,,,,,0,8,8,8,,,,,47.7876571000088,None,['1'],0,[0.2556110000004992],47.7876571000088,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_2linestimulus7.png,TMT-BX_1_2greenlinestimulus7.png,TMT-BX_1_2redlinestimulus7.png,,K,,,,,,,,,,,,,,0,9,9,9,,,,,48.14333839999745,None,['1'],0,[1.5258955000026617],48.14333839999745,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,3,TMT-BX_1_2linestimulus8.png,TMT-BX_1_2greenlinestimulus8.png,TMT-BX_1_2redlinestimulus8.png,,12,,,,,,,,,,,,,,0,10,10,10,,,,,49.760032899997896,None,['1'],0,[0.776270200003637],49.760032899997896,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,2,TMT-BX_1_2linestimulus9.png,TMT-BX_1_2greenlinestimulus9.png,TMT-BX_1_2redlinestimulus9.png,,L,,,,,,,,,,,,,,0,11,11,11,,,,,50.6356422000099,None,['1'],0,[8.39300509999157],50.6356422000099,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,None,None,TMT-BX_1_2greenlinestimulus10.png,TMT-BX_1_2redlinestimulus10.png,,None,,,,,,,,,,,,,,0,12,12,12,,,,,59.12046099998406,None,None,1,,59.12046099998406,None,,,,,,001,2021_Oct_29_1217,TMTAB,2021.2.3,137.92266397775367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.13216859998647,None,,,,,,,
