Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.509929199994076,15.638221000001067,None,,,,,,,,,,,,,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,15.638221000001067,None,3,0,9.725763199996436,30.989879000000656,None,"['1', '3', '2']",1,"[9.289115699997637, 9.346364600001834, 9.387129599999753]",30.989879000000656,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,9.881746400002157,40.44348290000926,None,['1'],1,[0.09075010000378825],40.44348290000926,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,9.998813899990637,40.5936997999961,None,['3'],1,[0.059642600012011826],40.5936997999961,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,2,0,10.179858999996213,40.71836080000503,None,"['2', '1']",1,"[0.01693860000523273, 0.08027370000490919]",40.71836080000503,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,0,0,,40.89649539999664,None,None,0,,40.89649539999664,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
A1,208:234,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,A1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,,91.61114435000782,None,None,0,,91.61114435000782,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
A2,234:260,1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,A2,26,None,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,0,0,,94.84509330000729,None,None,0,,94.84509330000729,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
A3,260:286,1,['1'],1,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMT_A,A3,51,None,2,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,0,0,,98.0664464500107,None,None,0,,98.0664464500107,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
C3,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,C3,51,2,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,2,0,78.9808131000027,104.29834680000204,None,"['1', '2']",1,"[5.204765599992243, 5.32875659999263]",104.29834680000204,None,,001,2022_Nov_17_2238,TMT_fmri,2021.2.3,59.91575844736413,
