Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.started,key_resp_8.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,ResponseClock,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-A_1_3.xlsx,52:78,8,['1'],1,TMTstop-A_1_3linestimulus5.png,TMTstop-A_1_3greenlinestimulus5.png,TMTstop-A_1_3redlinestimulus5.png,TMT_A,3,58,None,2,,,,,,,,,0,2,2,2,0,7,7,7,,,,,,,1,1,,,,,,,351.7048314999993,None,['1'],1,351.7048314999993,None,327.6576730000088,[0.17884750000666827],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,9,['3'],3,TMTstop-A_1_3linestimulus6.png,TMTstop-A_1_3greenlinestimulus6.png,TMTstop-A_1_3redlinestimulus6.png,TMT_A,3,59,None,2,,,,,,,,,0,2,2,2,0,8,8,8,,,,,,,3,0,,,,,,,351.92317059999914,None,"['2', '2', '3']",1,351.92317059999914,None,327.9017934000003,"[0.088207799999509, 0.16664309999032412, 0.16847759998927359]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,10,['2'],2,TMTstop-A_1_3linestimulus7.png,TMTstop-A_1_3greenlinestimulus7.png,TMTstop-A_1_3redlinestimulus7.png,TMT_A,3,60,None,2,,,,,,,,,0,2,2,2,0,9,9,9,,,,,,,6,0,,,,,,,352.16752149999957,None,"['1', '1', '2', '3', '1', '2']",1,352.16752149999957,None,328.89863540000806,"[0.14511009999841917, 0.5268783000065014, 0.6731596000026911, 0.6909343000006629, 0.8767495000065537, 0.9577152999991085]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,11,['3'],3,TMTstop-A_1_3linestimulus8.png,TMTstop-A_1_3greenlinestimulus8.png,TMTstop-A_1_3redlinestimulus8.png,TMT_A,3,61,None,2,,,,,,,,,0,2,2,2,0,10,10,10,,,,,,,1,1,,,,,,,353.1652182999969,None,['3'],1,353.1652182999969,None,328.97470630001044,[0.03047510000760667],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,12,['2'],2,TMTstop-A_1_3linestimulus9.png,TMTstop-A_1_3greenlinestimulus9.png,TMTstop-A_1_3redlinestimulus9.png,TMT_A,3,62,None,2,,,,,,,,,0,2,2,2,0,11,11,11,,,,,,,2,0,,,,,,,353.24030170000333,None,"['1', '2']",1,353.24030170000333,None,329.1977615000069,"[0.08708620000106748, 0.15657769999234006]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,13,['1'],1,TMTstop-A_1_3linestimulus10.png,TMTstop-A_1_3greenlinestimulus10.png,TMTstop-A_1_3redlinestimulus10.png,TMT_A,3,63,None,2,,,,,,,,,0,2,2,2,0,12,12,12,,,,,,,2,0,,,,,,,353.474984600005,None,"['3', '1']",1,353.474984600005,None,329.41260460000194,"[0.001217299999552779, 0.1334696999983862]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,14,['2'],2,TMTstop-A_1_3linestimulus11.png,TMTstop-A_1_3greenlinestimulus11.png,TMTstop-A_1_3redlinestimulus11.png,TMT_A,3,64,None,2,,,,,,,,,0,2,2,2,0,13,13,13,,,,,,,1,1,,,,,,,353.6793352999957,None,['2'],1,353.6793352999957,None,329.46076520001225,[0.002648100009537302],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,15,['3'],3,TMTstop-A_1_3linestimulus12.png,TMTstop-A_1_3greenlinestimulus12.png,TMTstop-A_1_3redlinestimulus12.png,TMT_A,3,65,None,2,,,,,,,,,0,2,2,2,0,14,14,14,,,,,,,1,1,,,,,,,353.72726610000245,None,['3'],1,353.72726610000245,None,329.53674260000116,[0.030386500002350658],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,16,['2'],2,TMTstop-A_1_3linestimulus13.png,TMTstop-A_1_3greenlinestimulus13.png,TMTstop-A_1_3redlinestimulus13.png,TMT_A,3,66,None,2,,,,,,,,,0,2,2,2,0,15,15,15,,,,,,,2,0,,,,,,,353.80338029999984,None,"['1', '2']",1,353.80338029999984,None,329.73806350000086,"[0.08185670000966638, 0.13155710000137333]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,17,['3'],3,TMTstop-A_1_3linestimulus14.png,TMTstop-A_1_3greenlinestimulus14.png,TMTstop-A_1_3redlinestimulus14.png,TMT_A,3,67,None,2,,,,,,,,,0,2,2,2,0,16,16,16,,,,,,,1,1,,,,,,,354.0047295999975,None,['3'],1,354.0047295999975,None,329.8150863000046,[0.03708119998918846],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,18,['2'],2,TMTstop-A_1_3linestimulus15.png,TMTstop-A_1_3greenlinestimulus15.png,TMTstop-A_1_3redlinestimulus15.png,TMT_A,3,68,None,2,,,,,,,,,0,2,2,2,0,17,17,17,,,,,,,2,0,,,,,,,354.0835727999947,None,"['1', '2']",1,354.0835727999947,None,330.11514950000856,"[0.09720609999203589, 0.21763230000215117]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,19,['3'],3,TMTstop-A_1_3linestimulus16.png,TMTstop-A_1_3greenlinestimulus16.png,TMTstop-A_1_3redlinestimulus16.png,TMT_A,3,69,None,2,,,,,,,,,0,2,2,2,0,18,18,18,,,,,,,1,1,,,,,,,354.3839493999985,None,['3'],1,354.3839493999985,None,330.158007200007,[-0.04154390000621788],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,20,['1'],1,TMTstop-A_1_3linestimulus17.png,TMTstop-A_1_3greenlinestimulus17.png,TMTstop-A_1_3redlinestimulus17.png,TMT_A,3,70,None,2,,,,,,,,,0,2,2,2,0,19,19,19,,,,,,,1,1,,,,,,,354.42469210000127,None,['1'],1,354.42469210000127,None,330.24813570000697,[0.045477799998479895],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,21,['2'],2,TMTstop-A_1_3linestimulus18.png,TMTstop-A_1_3greenlinestimulus18.png,TMTstop-A_1_3redlinestimulus18.png,TMT_A,3,71,None,2,,,,,,,,,0,2,2,2,0,20,20,20,,,,,,,1,1,,,,,,,354.51380580000114,None,['2'],1,354.51380580000114,None,330.3241684000095,[0.03592870000284165],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,22,['3'],3,TMTstop-A_1_3linestimulus19.png,TMTstop-A_1_3greenlinestimulus19.png,TMTstop-A_1_3redlinestimulus19.png,TMT_A,3,72,None,2,,,,,,,,,0,2,2,2,0,21,21,21,,,,,,,1,1,,,,,,,354.58939900000405,None,['3'],1,354.58939900000405,None,330.4131703000021,[0.046215499998652376],,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,23,['2'],2,TMTstop-A_1_3linestimulus20.png,TMTstop-A_1_3greenlinestimulus20.png,TMTstop-A_1_3redlinestimulus20.png,TMT_A,3,73,None,2,,,,,,,,,0,2,2,2,0,22,22,22,,,,,,,2,0,,,,,,,354.6785477999947,None,"['1', '2']",1,354.6785477999947,None,330.66019320000487,"[0.08488569999462925, 0.19884389999788254]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
TMTstop-A_1_3.xlsx,52:78,24,['1'],1,TMTstop-A_1_3linestimulus21.png,TMTstop-A_1_3greenlinestimulus21.png,TMTstop-A_1_3redlinestimulus21.png,TMT_A,3,74,None,2,,,,,,,,,0,2,2,2,0,23,23,23,,,,,,,2,0,,,,,,,354.9285502999992,None,"['3', '1']",1,354.9285502999992,None,330.8607211000053,"[0.006660700004431419, 0.14356430000043474]",,001,2022_Nov_17_1614,TMT_fmri,2021.2.3,143.4133819202093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
