NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['2'],TMTstop-B_1_1.png,TMTstop-B_1_1.png,TMTstop-B_1_1.png,10,0,0,0,0,6.22754300001543,None,6.22754300001543,None,7.483248300035484,None,['2'],1,[1.255679199937731],7.483248300035484,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
A,['1'],TMTstop-B_1_1.png,TMTstop-B_1_1firstgreen.png,TMTstop-B_1_1firstred.png,10,0,1,1,1,,,,,8.80958549992647,None,['1'],1,[1.8448832998983562],8.80958549992647,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
2,['3'],TMTstop-B_1_1linestimulus0.png,TMTstop-B_1_1greenlinestimulus0.png,TMTstop-B_1_1redlinestimulus0.png,10,0,2,2,2,,,,,10.73315680003725,None,['3'],1,[2.766771800001152],10.73315680003725,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
B,['2'],TMTstop-B_1_1linestimulus1.png,TMTstop-B_1_1greenlinestimulus1.png,TMTstop-B_1_1redlinestimulus1.png,10,0,3,3,3,,,,,13.586858000024222,None,['2'],1,[1.5646624999353662],13.586858000024222,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
3,['1'],TMTstop-B_1_1linestimulus2.png,TMTstop-B_1_1greenlinestimulus2.png,TMTstop-B_1_1redlinestimulus2.png,10,0,4,4,4,,,,,15.240076399990357,None,['2'],0,[0.34062699996866286],15.240076399990357,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
C,['2'],TMTstop-B_1_1linestimulus3.png,TMTstop-B_1_1greenlinestimulus3.png,TMTstop-B_1_1redlinestimulus3.png,10,0,5,5,5,,,,,15.663526399992406,None,['2'],1,[0.30505329999141395],15.663526399992406,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
4,['1'],TMTstop-B_1_1linestimulus4.png,TMTstop-B_1_1greenlinestimulus4.png,TMTstop-B_1_1redlinestimulus4.png,10,0,6,6,6,,,,,16.052439099992625,None,['2'],0,[0.3299829999450594],16.052439099992625,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
D,['2'],TMTstop-B_1_1linestimulus5.png,TMTstop-B_1_1greenlinestimulus5.png,TMTstop-B_1_1redlinestimulus5.png,10,0,7,7,7,,,,,16.462372799986042,None,['2'],1,[0.21869540004990995],16.462372799986042,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
5,['3'],TMTstop-B_1_1linestimulus6.png,TMTstop-B_1_1greenlinestimulus6.png,TMTstop-B_1_1redlinestimulus6.png,10,0,8,8,8,,,,,16.775156499934383,None,['2'],0,[0.18662130006123334],16.775156499934383,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
E,['1'],TMTstop-B_1_1linestimulus7.png,TMTstop-B_1_1greenlinestimulus7.png,TMTstop-B_1_1redlinestimulus7.png,10,0,9,9,9,,,,,17.045481299981475,None,['2'],0,[0.17194180004298687],17.045481299981475,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
6,['3'],TMTstop-B_1_1linestimulus8.png,TMTstop-B_1_1greenlinestimulus8.png,TMTstop-B_1_1redlinestimulus8.png,10,0,10,10,10,,,,,17.295635499991477,None,['2'],0,[0.17123209999408573],17.295635499991477,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
F,['2'],TMTstop-B_1_1linestimulus9.png,TMTstop-B_1_1greenlinestimulus9.png,TMTstop-B_1_1redlinestimulus9.png,10,0,11,11,11,,,,,17.55256450001616,None,['2'],1,[0.152449999935925],17.55256450001616,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
7,['1'],TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,1,0,12,12,12,,,,,17.795467099989764,None,['2'],0,[0.13444629998411983],17.795467099989764,None,,001,2021_Nov_03_1326,TMTAB,2021.2.3,143.5622385198228,
