key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
s,0.936782899996615,12.84022030000051,None,,,,001,2022_May_10_1050,TMT_fmri,2021.2.3,None,
,,,,12.84022030000051,None,,,,,,,
