NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,18.37402889999794,None,1,0.07126929999503773,18.37402889999794,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,18.52713989999029,None,2,0.04751309999846853,18.52713989999029,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,18.65190189999703,None,3,0.015574399993056431,18.65190189999703,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,18.749233999988064,None,1,0.06758399998943787,18.749233999988064,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,18.887970499999938,None,3,0.12509440000576433,18.887970499999938,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,19.110227899989695,None,2,0.1523184000106994,19.110227899989695,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,19.346340999996755,None,3,0.04846269999688957,19.346340999996755,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,19.47138579998864,None,1,0.6427734000026248,19.47138579998864,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,20.1935431999882,None,2,0.4096218000049703,20.1935431999882,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,20.67279349999444,None,None,,20.67279349999444,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,21.666372429994226,None,None,,21.666372429994226,None,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,21.735189399987576,None,1,2.5899987000011606,21.735189399987576,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,24.39471209999465,None,2,0.19487340000341646,24.39471209999465,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,24.658630499994615,None,3,0.07113890000618994,24.658630499994615,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,2,0,2,0,0,3,3,3,,,,,,,24.811606399991433,None,1,0.06448529999761377,24.811606399991433,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,2,0,2,0,0,4,4,4,,,,,,,24.957357299994328,None,2,0.03541269998822827,24.957357299994328,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,2,0,2,0,0,5,5,5,,,,,,,25.06841579999309,None,3,0.029551800005719997,25.06841579999309,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,2,0,2,0,0,6,6,6,,,,,,,25.187072799992166,None,1,0.05677080000168644,25.187072799992166,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,2,0,2,0,0,7,7,7,,,,,,,25.325454099991475,None,3,0.11793110000144225,25.325454099991475,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,2,0,2,0,0,8,8,8,,,,,,,25.547764999995707,None,2,0.16895950000616722,25.547764999995707,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,2,0,2,0,0,9,9,9,,,,,,,25.811572499995236,None,3,0.7286204999982147,25.811572499995236,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,2,0,2,0,0,10,10,10,,,,,,,26.617021399986697,None,1,0.2787067000026582,26.617021399986697,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,2,0,2,0,0,11,11,11,,,,,,,26.97800649999408,None,2,0.5530831999931252,26.97800649999408,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,2,0,2,0,0,12,12,12,,,,,,,27.61010149998765,None,None,,27.61010149998765,None,,,,,,,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,28.60825509999995,None,x,5.080494200010435,28.60825509999995,None,,001,2021_Nov_15_1810,TMTAB,2021.2.3,144.56152322710304,
