Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Blocks_Control3.thisRepN,Blocks_Control3.thisTrialN,Blocks_Control3.thisN,Blocks_Control3.thisIndex,trials_Control3.thisRepN,trials_Control3.thisTrialN,trials_Control3.thisN,trials_Control3.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,Info2.started,Info2.stopped,text_2.started,text_2.stopped,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.0601807999919401,13.897913100008736,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.897913100008736,None,2,0,5.248389200001839,31.778033200011123,None,"['1', '2']",1,"[1.8023233999992954, 1.9112520000053337]",31.778033200011123,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5.455419200006872,33.77552720000676,None,"['3', '1']",1,"[-0.01455540000461042, 0.14476870000362396]",33.77552720000676,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5.606286800000817,33.975266400011606,None,"['2', '3']",1,"[0.01874310000857804, 0.08493080000334885]",33.975266400011606,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5.756284600007348,34.12583930000255,None,['1'],1,[0.0964531000063289],34.12583930000255,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5.9134308000066085,34.27607350000471,None,"['2', '3']",1,"[-0.015081100005772896, 0.09787109999160748]",34.27607350000471,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C1,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,34.439271800001734,None,None,0,,34.439271800001734,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
A1,208:234,1,['1'],1,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMT_A,A1,1,1,2,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,82.17617719999981,None,None,0,,82.17617719999981,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
A2,234:260,1,['1'],1,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMTstop-A_1_2.png,TMT_A,A2,26,None,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,85.39000149999339,None,None,0,,85.39000149999339,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
A3,260:286,1,['1'],1,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMTstop-A_1_3.png,TMT_A,A3,51,None,2,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,88.59032960000042,None,None,0,,88.59032960000042,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C3,52:78,1,['2'],2,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMTstop-control_1_3.png,TMT_Control,C3,51,2,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,72.75639039999805,94.79862840000715,None,"['1', '2']",1,"[6.278720599992084, 6.419086099995184]",94.79862840000715,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
C3,52:78,2,['1'],1,TMTstop-control_1_3.png,TMTstop-control_1_3firstgreen.png,TMTstop-control_1_3firstred.png,TMT_Control,C3,52,None,1,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,0,72.96744560000661,101.2763016000099,None,"['3', '1']",1,"[-0.014806499995756894, 0.13391089999640826]",101.2763016000099,None,,,,,,,,,,,,,001,2022_Nov_17_2308,TMT_fmri,2021.2.3,60.936187016598765,
