Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-B_1_1.xlsx,0:26,7,['3'],3,TMTstop-B_1_1linestimulus10.png,TMTstop-B_1_1greenlinestimulus10.png,TMTstop-B_1_1redlinestimulus10.png,TMT_B,1,13,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,1,1,82.3612262999959,None,['3'],1,[3.5105404000059934],82.3612262999959,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,G,['2'],2,TMTstop-B_1_1linestimulus11.png,TMTstop-B_1_1greenlinestimulus11.png,TMTstop-B_1_1redlinestimulus11.png,TMT_B,1,14,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,1,1,86.02637429999595,None,['2'],1,[1.268731399992248],86.02637429999595,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,8,['3'],3,TMTstop-B_1_1linestimulus12.png,TMTstop-B_1_1greenlinestimulus12.png,TMTstop-B_1_1redlinestimulus12.png,TMT_B,1,15,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,1,1,87.46726039999339,None,['3'],1,[1.9324895000027027],87.46726039999339,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,H,['1'],1,TMTstop-B_1_1linestimulus13.png,TMTstop-B_1_1greenlinestimulus13.png,TMTstop-B_1_1redlinestimulus13.png,TMT_B,1,16,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,1,1,89.49636900000041,None,['1'],1,[0.7740206000016769],89.49636900000041,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,9,['3'],3,TMTstop-B_1_1linestimulus14.png,TMTstop-B_1_1greenlinestimulus14.png,TMTstop-B_1_1redlinestimulus14.png,TMT_B,1,17,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,1,1,90.45190609998826,None,['3'],1,[0.8166806999943219],90.45190609998826,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,I,['2'],2,TMTstop-B_1_1linestimulus15.png,TMTstop-B_1_1greenlinestimulus15.png,TMTstop-B_1_1redlinestimulus15.png,TMT_B,1,18,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,1,1,91.37502399999357,None,['2'],1,[0.8773936000070535],91.37502399999357,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,10,['3'],3,TMTstop-B_1_1linestimulus16.png,TMTstop-B_1_1greenlinestimulus16.png,TMTstop-B_1_1redlinestimulus16.png,TMT_B,1,19,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,1,1,92.37618870000006,None,['3'],1,[0.7818179999885615],92.37618870000006,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,J,['2'],2,TMTstop-B_1_1linestimulus17.png,TMTstop-B_1_1greenlinestimulus17.png,TMTstop-B_1_1redlinestimulus17.png,TMT_B,1,20,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,1,1,93.30157729999337,None,['2'],1,[0.5977827000024263],93.30157729999337,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,11,['1'],1,TMTstop-B_1_1linestimulus18.png,TMTstop-B_1_1greenlinestimulus18.png,TMTstop-B_1_1redlinestimulus18.png,TMT_B,1,21,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,1,1,94.10062389999803,None,['1'],1,[0.9823868999956176],94.10062389999803,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
TMTstop-B_1_1.xlsx,0:26,K,['2'],2,TMTstop-B_1_1linestimulus19.png,TMTstop-B_1_1greenlinestimulus19.png,TMTstop-B_1_1redlinestimulus19.png,TMT_B,1,22,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,1,1,95.16514449998795,None,['2'],1,[0.42406069999560714],95.16514449998795,None,,001,2022_May_10_0928,TMT_fmri,2021.2.3,None,
