Block_file,Condition_rows,Round,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Block,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_baseline1.thisRepN,trials_baseline1.thisTrialN,trials_baseline1.thisN,trials_baseline1.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim_2.started,Stim_2.stopped,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,s,0.9386002000101143,21.500832299992908,None,,,,,,,,,,,,,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,1,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,1,0,0,0,0,0,0,0,0,,,,,21.500832299992908,None,4,0,43.95684600000095,36.177965900002164,None,"['3', '1', '3', '2']",1,"[43.47561019999557, 43.48629049998999, 43.648811499995645, 43.690894400002435]",36.177965900002164,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,1,0,0,0,0,0,1,1,1,,,,,,,1,1,44.05784450001374,79.96128750000207,None,['1'],1,[0.019189700004062615],79.96128750000207,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,1,0,0,0,0,0,2,2,2,,,,,,,1,1,44.124747500012745,80.06141979999666,None,['3'],1,[0.017363799997838214],80.06141979999666,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,1,0,0,0,0,0,3,3,3,,,,,,,2,0,44.31974340000306,80.1329340999946,None,"['2', '1']",1,"[0.018664999995962717, 0.09261310000147205]",80.1329340999946,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,1,0,0,0,0,0,4,4,4,,,,,,,1,1,44.41983280000568,80.32349529999192,None,['3'],1,[0.017919899997650646],80.32349529999192,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,1,0,0,0,0,0,5,5,5,,,,,,,2,0,44.56984720000764,80.42364900000393,None,"['2', '1']",1,"[-0.030751499987673014, 0.052232400004868396]",80.42364900000393,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,1,0,0,0,0,0,6,6,6,,,,,,,2,0,44.720222300005844,80.57387059999746,None,"['3', '2']",1,"[0.01856380001117941, 0.06761070000356995]",80.57387059999746,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,1,0,0,0,0,0,7,7,7,,,,,,,1,1,44.78734490000352,80.72400570000173,None,['1'],1,[0.013635700001032092],80.72400570000173,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
TMTstop-Control_1_1.xlsx,0:26,None,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,1,0,0,0,0,0,8,8,8,,,,,,,1,1,44.896380200007115,80.79706609999994,None,['3'],1,[0.05131640000035986],80.79706609999994,None,,001,2022_Nov_17_2007,TMT_fmri,2021.2.3,59.95372771307742,
