NumB_1_1erLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,NumberLetter,NumB_1_2erLetter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,TMT-B_1_1.png,TMT-B_1_1.png,TMT-B_1_1.png,10,,,0,0,0,0,,,,,,,,,,,,,29.270691099998658,None,29.270691099998658,None,76.65832899999805,None,1,1,13.865253199997824,76.65832899999805,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
A,2,TMT-B_1_1.png,TMT-B_1_1firstgreen.png,TMT-B_1_1firstred.png,10,,,0,1,1,1,,,,,,,,,,,,,,,,,90.73097069999494,None,2,1,31.99265820000437,90.73097069999494,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
2,1,TMT-B_1_1linestimulus0.png,TMT-B_1_1greenlinestimulus0.png,TMT-B_1_1redlinestimulus0.png,10,,,0,2,2,2,,,,,,,,,,,,,,,,,122.87929559999611,None,1,1,38.15087230000063,122.87929559999611,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
B,3,TMT-B_1_1linestimulus1.png,TMT-B_1_1greenlinestimulus1.png,TMT-B_1_1redlinestimulus1.png,10,,,0,3,3,3,,,,,,,,,,,,,,,,,161.1791346999962,None,None,0,,161.1791346999962,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-BX_1_1.png,TMT-BX_1_1.png,TMT-BX_1_1.png,,7,,,,,,0,0,0,0,,,,,,,,,,,,,169.67021406666126,None,None,0,,169.67021406666126,None,166.60118800000055,None,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1.png,TMT-BX_1_1firstgreen.png,TMT-BX_1_1firstred.png,,G,,,,,,0,1,1,1,,,,,,,,,,,,,169.73688073332792,None,None,0,,169.73688073332792,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus0.png,TMT-BX_1_1greenlinestimulus0.png,TMT-BX_1_1redlinestimulus0.png,,8,,,,,,0,2,2,2,,,,,,,,,,,,,169.80354739999459,None,None,0,,169.80354739999459,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus1.png,TMT-BX_1_1greenlinestimulus1.png,TMT-BX_1_1redlinestimulus1.png,,H,,,,,,0,3,3,3,,,,,,,,,,,,,169.88688073332793,None,None,0,,169.88688073332793,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-BX_1_1linestimulus2.png,TMT-BX_1_1greenlinestimulus2.png,TMT-BX_1_1redlinestimulus2.png,,9,,,,,,0,4,4,4,,,,,,,,,,,,,169.9535473999946,None,None,0,,169.9535473999946,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus3.png,TMT-BX_1_1greenlinestimulus3.png,TMT-BX_1_1redlinestimulus3.png,,I,,,,,,0,5,5,5,,,,,,,,,,,,,170.0368807333279,None,None,0,,170.0368807333279,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus4.png,TMT-BX_1_1greenlinestimulus4.png,TMT-BX_1_1redlinestimulus4.png,,10,,,,,,0,6,6,6,,,,,,,,,,,,,170.12021406666125,None,None,0,,170.12021406666125,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-BX_1_1linestimulus5.png,TMT-BX_1_1greenlinestimulus5.png,TMT-BX_1_1redlinestimulus5.png,,J,,,,,,0,7,7,7,,,,,,,,,,,,,170.2035473999946,None,None,0,,170.2035473999946,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus6.png,TMT-BX_1_1greenlinestimulus6.png,TMT-BX_1_1redlinestimulus6.png,,11,,,,,,0,8,8,8,,,,,,,,,,,,,170.2868807333279,None,None,0,,170.2868807333279,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus7.png,TMT-BX_1_1greenlinestimulus7.png,TMT-BX_1_1redlinestimulus7.png,,K,,,,,,0,9,9,9,,,,,,,,,,,,,170.37021406666125,None,None,0,,170.37021406666125,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-BX_1_1linestimulus8.png,TMT-BX_1_1greenlinestimulus8.png,TMT-BX_1_1redlinestimulus8.png,,12,,,,,,0,10,10,10,,,,,,,,,,,,,170.4535473999946,None,None,0,,170.4535473999946,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-BX_1_1linestimulus9.png,TMT-BX_1_1greenlinestimulus9.png,TMT-BX_1_1redlinestimulus9.png,,L,,,,,,0,11,11,11,,,,,,,,,,,,,170.5368807333279,None,None,0,,170.5368807333279,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,None,None,TMT-BX_1_1greenlinestimulus10.png,TMT-BX_1_1redlinestimulus10.png,,None,,,,,,0,12,12,12,,,,,,,,,,,,,170.60354739999457,None,None,1,,170.60354739999457,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-B_1_2.png,TMT-B_1_2.png,TMT-B_1_2.png,10,,1,,,,,,,,,0,0,0,0,,,,,,,,,173.7130078333333,None,None,0,,173.7130078333333,None,170.63507459999528,None,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-B_1_2.png,TMT-B_1_2firstgreen.png,TMT-B_1_2firstred.png,10,,A,,,,,,,,,0,1,1,1,,,,,,,,,173.79634116666665,None,None,0,,173.79634116666665,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus0.png,TMT-B_1_2greenlinestimulus0.png,TMT-B_1_2redlinestimulus0.png,10,,2,,,,,,,,,0,2,2,2,,,,,,,,,173.89634116666664,None,None,0,,173.89634116666664,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-B_1_2linestimulus1.png,TMT-B_1_2greenlinestimulus1.png,TMT-B_1_2redlinestimulus1.png,10,,B,,,,,,,,,0,3,3,3,,,,,,,,,173.9796745,None,None,0,,173.9796745,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-B_1_2linestimulus2.png,TMT-B_1_2greenlinestimulus2.png,TMT-B_1_2redlinestimulus2.png,10,,3,,,,,,,,,0,4,4,4,,,,,,,,,174.0630078333333,None,None,0,,174.0630078333333,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-B_1_2linestimulus3.png,TMT-B_1_2greenlinestimulus3.png,TMT-B_1_2redlinestimulus3.png,10,,C,,,,,,,,,0,5,5,5,,,,,,,,,174.16300783333332,None,None,0,,174.16300783333332,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus4.png,TMT-B_1_2greenlinestimulus4.png,TMT-B_1_2redlinestimulus4.png,10,,4,,,,,,,,,0,6,6,6,,,,,,,,,174.27967449999997,None,None,0,,174.27967449999997,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-B_1_2linestimulus5.png,TMT-B_1_2greenlinestimulus5.png,TMT-B_1_2redlinestimulus5.png,10,,D,,,,,,,,,0,7,7,7,,,,,,,,,174.3630078333333,None,None,0,,174.3630078333333,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus6.png,TMT-B_1_2greenlinestimulus6.png,TMT-B_1_2redlinestimulus6.png,10,,5,,,,,,,,,0,8,8,8,,,,,,,,,174.44634116666666,None,None,0,,174.44634116666666,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,3,TMT-B_1_2linestimulus7.png,TMT-B_1_2greenlinestimulus7.png,TMT-B_1_2redlinestimulus7.png,10,,E,,,,,,,,,0,9,9,9,,,,,,,,,174.51300783333332,None,None,0,,174.51300783333332,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,1,TMT-B_1_2linestimulus8.png,TMT-B_1_2greenlinestimulus8.png,TMT-B_1_2redlinestimulus8.png,10,,6,,,,,,,,,0,10,10,10,,,,,,,,,174.57967449999998,None,None,0,,174.57967449999998,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
,2,TMT-B_1_2linestimulus9.png,TMT-B_1_2greenlinestimulus9.png,TMT-B_1_2redlinestimulus9.png,10,,F,,,,,,,,,0,11,11,11,,,,,,,,,174.66300783333332,None,None,0,,174.66300783333332,None,,,,,,001,2021_Oct_28_1033,TMTAB,2021.2.3,None,
