Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,s,2.48039090000384,15.078358699989622,None,,,,,,,,,,,,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,15.078358699989622,None,2,0,17.78734949999489,None,"['1', '2']",1,"[0.7310149999975692, 1.194660399996792]",17.78734949999489,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,2,0,19.114761199991335,None,"['3', '1']",1,"[0.12372519999917131, 0.3582878000015626]",19.114761199991335,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,2,0,19.693555499994545,None,"['2', '3']",1,"[-0.10278760000073817, -0.02776169999560807]",19.693555499994545,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,1,1,19.81874699999753,None,['1'],1,[1.0410161999898264],19.81874699999753,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,1,1,21.001651200000197,None,['3'],1,[0.7027889000019059],21.001651200000197,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,1,1,21.901363299999502,None,['1'],1,[0.45690590000594966],21.901363299999502,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,1,1,22.532045299987658,None,['2'],1,[0.25499410000338685],22.532045299987658,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,2,0,22.906221799988998,None,"['3', '1']",1,"[0.45995590000529774, 0.8540370999980951]",22.906221799988998,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,2,0,23.878381899994565,None,"['2', '3']",1,"[0.5234304000041448, 1.0044893000012962]",23.878381899994565,None,,001,2022_May_10_0944,TMT_fmri,2021.2.3,None,
