Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,1,15,0,0,0,0,0,14,14,14,2,0,13.542054100194946,None,"['2', '3']",1,"[-0.051019599894061685, 0.06388170015998185]",13.542054100194946,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,16,['1'],1,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,1,16,0,0,0,0,0,15,15,15,1,1,13.701733000110835,None,['1'],1,[0.04913060017861426],13.701733000110835,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,17,['2'],2,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,1,17,0,0,0,0,0,16,16,16,1,1,13.826375600183383,None,['2'],1,[-0.012068700045347214],13.826375600183383,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,18,['1'],1,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,1,18,0,0,0,0,0,17,17,17,2,0,13.90327260014601,None,"['3', '1']",1,"[0.006938299862667918, 0.16399239981546998]",13.90327260014601,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,19,['3'],3,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,1,19,0,0,0,0,0,18,18,18,2,0,14.160092400154099,None,"['2', '3']",1,"[-0.0272603000048548, 0.07036879984661937]",14.160092400154099,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,20,['1'],1,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,1,20,0,0,0,0,0,19,19,19,1,1,14.31990380003117,None,['1'],1,[0.044655799865722656],14.31990380003117,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,21,['3'],3,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,1,21,0,0,0,0,0,20,20,20,2,0,14.43851160001941,None,"['2', '3']",1,"[-0.032805300084874034, 0.09072460001334548]",14.43851160001941,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,22,['1'],1,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,1,22,0,0,0,0,0,21,21,21,1,1,14.63913210015744,None,['1'],1,[0.028253800002858043],14.63913210015744,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,1,23,0,0,0,0,0,22,22,22,2,0,14.736194299999624,None,"['2', '3']",1,"[-0.018981799948960543, 0.1127221998758614]",14.736194299999624,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,24,['1'],1,TMTstop-control_1_1linestimulus21.png,TMTstop-control_1_1greenlinestimulus21.png,TMTstop-control_1_1redlinestimulus21.png,1,24,0,0,0,0,0,23,23,23,1,1,14.937762700021267,None,['1'],1,[0.0640461000148207],14.937762700021267,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,25,['3'],3,TMTstop-control_1_1linestimulus22.png,TMTstop-control_1_1greenlinestimulus22.png,TMTstop-control_1_1redlinestimulus22.png,1,25,0,0,0,0,0,24,24,24,2,0,15.083736300002784,None,"['2', '3']",1,"[-0.04665559995919466, 0.08580909995362163]",15.083736300002784,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_1.xlsx,0:26,None,None,None,TMTstop-control_1_1linestimulus23.png,TMTstop-control_1_1greenlinestimulus23.png,TMTstop-control_1_1redlinestimulus23.png,1,Feedback_last,0,0,0,0,0,25,25,25,3,0,15.288736900081858,None,"['1', '2', '3']",0,"[0.024662400130182505, 0.06402720022015274, 0.24746030010282993]",15.288736900081858,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_2.xlsx,26:52,1,['1'],1,TMTstop-control_1_2.png,TMTstop-control_1_2.png,TMTstop-control_1_2.png,2,26,0,1,1,1,0,0,0,0,1,1,19.411490000085905,None,['1'],1,[0.3910439000464976],19.411490000085905,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_2.xlsx,26:52,2,['3'],3,TMTstop-control_1_2.png,TMTstop-control_1_2firstgreen.png,TMTstop-control_1_2firstred.png,2,27,0,1,1,1,0,1,1,1,2,0,19.88263070001267,None,"['2', '3']",1,"[-0.01109450007788837, 0.0832280998583883]",19.88263070001267,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_2.xlsx,26:52,3,['2'],2,TMTstop-control_1_2linestimulus0.png,TMTstop-control_1_2greenlinestimulus0.png,TMTstop-control_1_2redlinestimulus0.png,2,28,0,1,1,1,0,2,2,2,2,0,20.035567400045693,None,"['1', '2']",1,"[0.0944393000099808, 0.15649749990552664]",20.035567400045693,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
TMTstop-Control_1_2.xlsx,26:52,4,['3'],3,TMTstop-control_1_2linestimulus1.png,TMTstop-control_1_2greenlinestimulus1.png,TMTstop-control_1_2redlinestimulus1.png,2,29,0,1,1,1,0,3,3,3,1,1,20.284465100150555,None,['3'],1,[0.014514800161123276],20.284465100150555,None,,001,2022_Feb_02_1710,TMTAstop-A,2021.2.3,149.37880831259645,
,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
