Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,Block_file,Condition_rows,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,s,5.50833570001123,14.254259199995431,None,,,,001,2022_May_10_1151,TMT_fmri,2021.2.3,None,
,,,,,,,,,,14.254259199995431,None,,,,,,,
