NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,21.960988199803978,None,1,0.6616863000672311,21.960988199803978,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,22.72074649995193,None,2,0.14314180007204413,22.72074649995193,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,22.947936199838296,None,3,0.3823065999895334,22.947936199838296,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,23.440479199867696,None,1,0.0723554000724107,23.440479199867696,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,23.600208499934524,None,2,0.3558445000089705,23.600208499934524,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,24.05166819994338,None,3,0.03946730005554855,24.05166819994338,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,24.163097699871287,None,1,0.10907189990393817,24.163097699871287,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,24.343201600015163,None,3,0.13924139994196594,24.343201600015163,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,24.579867199994624,None,2,0.13776479987427592,24.579867199994624,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,24.80847299983725,None,3,0.3483509998768568,24.80847299983725,None,,,,,,,,,,,,,,,001,2022_Jan_12_1637,TMTAstop-A,2021.2.3,144.169081282197,
