Block_paper,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Paper,TrialNumber_Version,Round,Block,Blocks_Control1.thisRepN,Blocks_Control1.thisTrialN,Blocks_Control1.thisN,Blocks_Control1.thisIndex,trials_Control1.thisRepN,trials_Control1.thisTrialN,trials_Control1.thisN,trials_Control1.thisIndex,Blocks_TMTA1.thisRepN,Blocks_TMTA1.thisTrialN,Blocks_TMTA1.thisN,Blocks_TMTA1.thisIndex,trials_TMTA1.thisRepN,trials_TMTA1.thisTrialN,trials_TMTA1.thisN,trials_TMTA1.thisIndex,Blocks_Control2.thisRepN,Blocks_Control2.thisTrialN,Blocks_Control2.thisN,Blocks_Control2.thisIndex,trials_Control2.thisRepN,trials_Control2.thisTrialN,trials_Control2.thisN,trials_Control2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,ResponseClock,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1.3860351999901468,11.446939899993595,None,,,,,,,,,,,,,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,C1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11.446939899993595,None,2,0,26.222781799995573,29.644364699997823,None,"['3', '2']",1,"[22.868209799999022, 22.886931200002437]",29.644364699997823,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,C1,2,None,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,26.35575109999627,52.61003199999686,None,['1'],1,[0.0808889000036288],52.61003199999686,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,3,['3'],3,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,C1,3,None,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,3,0,26.817854299995815,52.75103649999073,None,"['2', '1', '3']",1,"[0.1379544000083115, 0.2522285000013653, 0.3740786999987904]",52.75103649999073,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,4,['1'],1,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,C1,4,None,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,2,0,26.968832799990196,53.203828800003976,None,"['2', '1']",1,"[-0.041669199999887496, 0.07530070000211708]",53.203828800003976,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,5,['3'],3,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,C1,5,None,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,1,1,27.101857199988444,53.35519469999417,None,['3'],1,[0.06775129999732599],53.35519469999417,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,C1,6,None,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,2,0,27.252693499991437,53.48921309999423,None,"['2', '1']",1,"[-0.007035700007691048, 0.08344129999750294]",53.48921309999423,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,7,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,C1,7,None,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,4,0,32.94660060000024,53.65614359999017,None,"['1', '3', '3', '2']",1,"[5.367011700000148, 5.37474289999227, 5.57167199999094, 5.59973249999166]",53.65614359999017,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,8,['1'],1,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,C1,8,None,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,1,1,33.04661499999929,59.33264409999538,None,['1'],1,[0.04935020000266377],59.33264409999538,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,C1,9,None,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,1,1,33.18067629999132,59.43306609999854,None,['3'],1,[0.0761723999894457],59.43306609999854,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,C1,10,None,1,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,1,1,33.23050130000047,59.56683929999417,None,['2'],1,[-0.021543599999858998],59.56683929999417,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,11,['1'],1,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,C1,11,None,1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,1,1,33.317465999993146,59.62075439999171,None,['1'],1,[0.012386999995214865],59.62075439999171,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,12,['2'],2,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,C1,12,None,1,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,2,0,33.48459829999774,59.704140899993945,None,"['3', '2']",1,"[0.054585299993050285, 0.07783779999590479]",59.704140899993945,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,C1,13,None,1,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,8,0,34.2038051999989,59.877923099993495,None,"['1', '3', '2', '1', '3', '2', '1', '3']",1,"[-0.0005951999919489026, 0.11477890000969637, 0.1442752000002656, 0.23616510001011193, 0.36408460000529885, 0.3912659000052372, 0.49337380001088604, 0.6186128000117606]",59.877923099993495,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,C1,14,None,1,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,1,1,34.25545649998821,60.59249300000374,None,['2'],1,[-0.03075199999148026],60.59249300000374,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,C1,15,None,1,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,2,0,34.46456139998918,60.64640650000365,None,"['1', '3']",1,"[-0.0009984000062104315, 0.1350592999951914]",60.64640650000365,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,C1,16,None,1,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,1,1,34.51752499998838,60.853694699995685,None,['2'],1,[-0.04942049999954179],60.853694699995685,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,C1,17,None,1,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,2,0,34.70353699999396,60.90700239999569,None,"['1', '3']",1,"[0.0072176999965449795, 0.13123510000878014]",60.90700239999569,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,C1,18,None,1,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,1,1,34.75362529999984,61.09042559999216,None,['2'],1,[-0.013252899996587075],61.09042559999216,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,C1,19,None,1,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,1,1,34.853537599992706,61.14061049999145,None,['1'],1,[0.04221720001078211],61.14061049999145,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,C1,20,None,1,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,1,1,34.98767809999117,61.24076739999873,None,['3'],1,[0.0697103000129573],61.24076739999873,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
C1,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,C1,21,None,1,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,2,0,35.144604599991,61.37408290000167,None,"['2', '1']",1,"[-0.03908430000592489, 0.07964039999933448]",61.37408290000167,None,,001,2022_Nov_17_2344,TMT_fmri,2021.2.3,59.943664940406116,
