Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,polygon_2.started,polygon_2.stopped,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,1,1,43.375417799994466,None,['3'],1,[-0.09818699999595992],43.375417799994466,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,14,['2'],2,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,2,0,43.50111260000267,None,"['1', '2']",1,"[-0.04511229999479838, -0.019398200005525723]",43.50111260000267,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,15,['3'],3,TMTstop-control_1_1linestimulus12.png,TMTstop-control_1_1greenlinestimulus12.png,TMTstop-control_1_1redlinestimulus12.png,TMT_Control,1,15,0,0,0,0,0,14,14,14,,,,,,,1,1,43.62810699999682,None,['3'],1,[0.013576000012108125],43.62810699999682,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,16,['2'],2,TMTstop-control_1_1linestimulus13.png,TMTstop-control_1_1greenlinestimulus13.png,TMTstop-control_1_1redlinestimulus13.png,TMT_Control,1,16,0,0,0,0,0,15,15,15,,,,,,,2,0,43.766020499999286,None,"['1', '2']",1,"[0.020572299996274523, 0.08842609998828266]",43.766020499999286,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,17,['3'],3,TMTstop-control_1_1linestimulus14.png,TMTstop-control_1_1greenlinestimulus14.png,TMTstop-control_1_1redlinestimulus14.png,TMT_Control,1,17,0,0,0,0,0,16,16,16,,,,,,,1,1,44.047978999995394,None,['3'],1,[-0.050556000001961365],44.047978999995394,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,18,['2'],2,TMTstop-control_1_1linestimulus15.png,TMTstop-control_1_1greenlinestimulus15.png,TMTstop-control_1_1redlinestimulus15.png,TMT_Control,1,18,0,0,0,0,0,17,17,17,,,,,,,2,0,44.18733469999279,None,"['1', '2']",1,"[0.005279499993775971, 0.028459299996029586]",44.18733469999279,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,19,['1'],1,TMTstop-control_1_1linestimulus16.png,TMTstop-control_1_1greenlinestimulus16.png,TMTstop-control_1_1redlinestimulus16.png,TMT_Control,1,19,0,0,0,0,0,18,18,18,,,,,,,14,0,44.332247300000745,None,"['3', '1', '2', '3', '1', '2', '3', '1', '2', '3', '1', '2', '2', '1']",1,"[0.03323390000150539, 0.18320100000710227, 0.220289100005175, 0.353370900003938, 0.9815358000050765, 1.0362248000019463, 1.1631529000005685, 1.8541183000052115, 1.8670790000032866, 2.034212700003991, 3.1600934000016423, 3.179724300003727, 4.1041637000016635, 4.855314700005692]",44.332247300000745,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,20,['3'],3,TMTstop-control_1_1linestimulus17.png,TMTstop-control_1_1greenlinestimulus17.png,TMTstop-control_1_1redlinestimulus17.png,TMT_Control,1,20,0,0,0,0,0,19,19,19,,,,,,,1,1,49.392056700002286,None,['3'],1,[1.563510399995721],49.392056700002286,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,21,['1'],1,TMTstop-control_1_1linestimulus18.png,TMTstop-control_1_1greenlinestimulus18.png,TMTstop-control_1_1redlinestimulus18.png,TMT_Control,1,21,0,0,0,0,0,20,20,20,,,,,,,1,1,51.05951490000007,None,['1'],1,[1.5801148000027752],51.05951490000007,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,22,['2'],2,TMTstop-control_1_1linestimulus19.png,TMTstop-control_1_1greenlinestimulus19.png,TMTstop-control_1_1redlinestimulus19.png,TMT_Control,1,22,0,0,0,0,0,21,21,21,,,,,,,1,1,52.758234599998104,None,['2'],1,[1.445871600008104],52.758234599998104,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
TMTstop-Control_1_1.xlsx,0:26,23,['3'],3,TMTstop-control_1_1linestimulus20.png,TMTstop-control_1_1greenlinestimulus20.png,TMTstop-control_1_1redlinestimulus20.png,TMT_Control,1,23,0,0,0,0,0,22,22,22,,,,,,,1,1,54.353226899998845,None,['3'],1,[0.8487165000115056],54.353226899998845,None,rev1,001,2022_May_10_1152,TMT_fmri,2021.2.3,121.42789488950902,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
